disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.520493469290141	0.123292503693678	10.1657194044906	0.246386471597679	0.794600466982603	29	20	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Fibrotic_ILD	0.655216082301942	0.157120917959295	20.7274069159602	0.328203391747106	0.982228772856777	4	20	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Other	0.731201896083178	0.40262002020556	9.59984582884958	-0.170986028983696	1.63338982115005	3	20	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
