disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.106721333843344	0.0206408516322096	4.82722690809444	0.05308602327854	0.160356644408149	29	20	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Fibrotic_ILD	0.162725403623187	0.0499908520249392	12.4646676403688	0.054253333766661	0.271197473479714	4	20	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Other	0.181166367165489	0.054174898099503	7.46266212205911	0.0546556308145578	0.307677103516421	3	20	36	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
