contrast	estimate	SE	df	t.ratio	p.value	lower.CL	upper.CL	min_cells	arm	model	touches_small_group
Healthy - Fibrotic_ILD	-0.0162510943486341	0.0230284928133328	59.8510870449628	-0.705695091744137	0.699755789999027	-0.0623172957597246	0.0298151070624564	20		lmer(disease_group + sex + (1 | study))	FALSE
Healthy - Other	0.0121030581481551	0.030762642886408	14.4179561879248	0.393433626390491	0.699755789999027	-0.0536972617098295	0.0779033780061397	20		lmer(disease_group + sex + (1 | study))	FALSE
Fibrotic_ILD - Other	0.0283541524967892	0.0312354748499916	15.8227572676571	0.9077548086898	0.699755789999027	-0.0379224304343005	0.0946307354278789	20		lmer(disease_group + sex + (1 | study))	FALSE
