disease_group	emmean	SE	df	lower.CL	upper.CL	min_cells	n_donors	arm
Healthy	0.440166445039165	0.115288820334813	10.2423377188888	0.184108412857666	0.696224477220664	20	36	_ageadj
Fibrotic_ILD	0.461238612159963	0.164948459873475	24.2969174796392	0.121021744865645	0.801455479454281	20	36	_ageadj
Other	0.539089806287427	0.372291897059978	9.33042901405172	-0.298568409831497	1.37674802240635	20	36	_ageadj
