contrast	estimate	SE	df	t.ratio	p.value
Healthy - Fibrotic_ILD	0.0504755678523795	0.0517941999167944	31	0.974540931870109	0.79818423405731
Healthy - Other	0.0311817861313634	0.0597480491716796	31	0.521887937157008	0.79818423405731
Fibrotic_ILD - Other	-0.0192937817210161	0.0748094688319429	31	-0.257905610376128	0.79818423405731
