contrast	estimate	SE	df	t.ratio	p.value	lower.CL	upper.CL	min_cells	arm
Healthy - Fibrotic_ILD	-0.000878250813644591	0.0315798317889209	13.1272059396115	-0.0278104968865828	0.97823164424943	-0.0690351867861836	0.0672786851588945	20	_ageadj
Healthy - Other	-0.0308608002341485	0.0357126971631886	7.00683377790651	-0.864140843048919	0.775885882890396	-0.115291216762413	0.053569616294116	20	_ageadj
Fibrotic_ILD - Other	-0.0299825494205039	0.0444756280139298	8.9499160762324	-0.674134368852832	0.775885882890396	-0.130679299665819	0.0707142008248116	20	_ageadj
