disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	model	estimable
Healthy	0.0240944685776792	0.0067144694775847	5.05753694900112	0.00689326875376267	0.0412956684015957	38	10	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Fibrotic_ILD	0.0338931055501077	0.0160621217625254	12.4139387191994	-0.000974263761182953	0.0687604748613983	6	10	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
Other	0.0329211138688299	0.0209960255382537	13.530907398772	-0.0122577879039314	0.0781000156415913	3	10	47	_ageadj	lmer(disease_group + sex + age + (1 | study))	TRUE
