contrast	estimate	SE	df	z.ratio	p.value	lens
activated_migratory - fibroblast_like	-0.0431029949978885	0.0709631885103091	Inf	-0.607399355958009	0.543585915787553	AGTR1_expr
activated_migratory - vascular_stabilizing	-0.208708858889979	0.0702961733845964	Inf	-2.96899317332844	0.00448165851045295	AGTR1_expr
fibroblast_like - vascular_stabilizing	-0.16560586389209	0.0286485750678423	Inf	-5.78059688832417	2.23308163123239e-08	AGTR1_expr
activated_migratory - fibroblast_like	-0.028086169468898	0.039362709919983	Inf	-0.713522253066212	0.475522647984956	AGTR1_scvi
activated_migratory - vascular_stabilizing	0.0708654078242581	0.0389944244200269	Inf	1.81732154989478	0.103751838195224	AGTR1_scvi
fibroblast_like - vascular_stabilizing	0.0989515772931561	0.0162679739523509	Inf	6.08259993426266	3.54747437490988e-09	AGTR1_scvi
activated_migratory - fibroblast_like	-0.0345379677860337	0.0315322093226655	Inf	-1.09532343365511	0.273374964689078	AGTR1_detect
activated_migratory - vascular_stabilizing	-0.148587744814179	0.0312355553232661	Inf	-4.75700666360499	2.94727028998119e-06	AGTR1_detect
fibroblast_like - vascular_stabilizing	-0.114049777028145	0.0127647939924593	Inf	-8.9347134858204	1.22470407026533e-18	AGTR1_detect
