disease_group	emmean	SE	df	lower.CL	upper.CL
Healthy	-0.068176698332524	0.0439176108621249	31	-0.157747256219433	0.0213938595543846
Fibrotic_ILD	0.0283801911695904	0.113199622552878	31	-0.202491961154002	0.259252343493183
Other	-0.089687977372609	0.128622858379052	31	-0.352016026550625	0.172640071805407
