level	n_donors	arm	model	Df	F.value	Pr..F.	p_excl_small_groups	small_groups	p_BH	min_cells
activated_migratory	89		lmer(disease_group + sex + (1 | study))	3	2.48406134386525	0.103071797595026	0.670674320636425	COPD	0.20105089250752	10
basement_membrane	89		lmer(disease_group + sex + (1 | study))	3	1.13981887725197	0.33875709647664	0.797306370648548	COPD	0.33875709647664	10
vascular_stabilizing	89		lmer(disease_group + sex + (1 | study))	3	1.91807632811925	0.134033928338347	0.911743645729035	COPD	0.20105089250752	10
