disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	estimable
Healthy	0.456691121623422	0.0867459755628538	20.5138872402304	0.276032339952303	0.637349903294542	42	10	89		TRUE
COPD	0.225367914537401	0.159310012090578	79.7396797195765	-0.0916850029054332	0.542420831980236	1	10	89		FALSE
Fibrotic_ILD	0.490977296096317	0.0955145780131299	26.7838329515238	0.294923533587386	0.687031058605249	24	10	89		TRUE
Other	0.515944239477483	0.135605955393692	37.7922469149242	0.241374767872231	0.790513711082735	22	10	89		TRUE
