disease_group	emmean	SE	df	lower.CL	upper.CL	min_cells	n_donors	arm
Healthy	0.53304379752141	0.11095213456843	11.1058807679773	0.289123548195781	0.77696404684704	10	47	_ageadj
Fibrotic_ILD	0.568121546731979	0.134824032365651	21.0695527043252	0.287795969450532	0.848447124013426	10	47	_ageadj
Other	0.718980816722722	0.380240022317522	10.6676370971368	-0.121114126560994	1.55907576000644	10	47	_ageadj
