contrast	estimate	SE	df	t.ratio	p.value	lower.CL	upper.CL	min_cells	arm	touches_small_group
Healthy - Fibrotic_ILD	0.0841775146014809	0.0823717030188107	58.1791754708074	1.02192271758977	0.871974738666066	-0.0806965525198246	0.249051581722786	20		FALSE
Healthy - Other	0.0495291437168704	0.213151355174648	15.8501050023149	0.232366074690391	0.871974738666066	-0.402679092121638	0.501737379555379	20		FALSE
Fibrotic_ILD - Other	-0.0346483708846105	0.21153876643192	15.776802767182	-0.16379206265137	0.871974738666066	-0.483606685293558	0.414309943524338	20		FALSE
