disease_group	emmean	SE	df	lower.CL	upper.CL
Healthy	0.223554109146138	0.0190709823923755	31	0.184658584120899	0.262449634171377
Fibrotic_ILD	0.173078541293759	0.0491563171618539	31	0.0728235714668312	0.273333511120686
Other	0.192372323014775	0.0558537729910843	31	0.0784578019674857	0.306286844062064
