model	n_cells	n_genes	epochs_ran	max_epochs	early_stopping_min_delta	early_stopped	n_batches	elbo_validation_first	elbo_validation_final	elbo_validation_best	elbo_validation_delta_last20	elbo_train_first	elbo_train_final	elbo_train_best	elbo_train_delta_last20	n_studies_pooled
perivascular	123071	4000	128	1500	1.0	True	26	729.2847290039062	669.365234375	669.0852661132812	0.49810791015625	781.4759521484375	667.3125610351562	667.3125610351562	1.16021728515625	4
pericytes	11680	4001	152	400	0.0	True	18	1042.42333984375	811.7282104492188	809.8262939453125	-1.90191650390625	1177.4757080078125	776.711669921875	776.711669921875	2.4078369140625	8
