n_neighbors	resolution	cluster_key	n_clusters	median_jaccard	mean_ari	mean_nmi	min_cluster_cells	min_cluster_donors	passes
30	0.5	leiden_n30_r0.5	6	0.9657131661442007	0.9464346182811315	0.9322885249839413	113	47	True
30	0.3	leiden_n30_r0.3	4	0.961756023479626	0.9656668366093265	0.928033434759855	564	96	True
15	0.3	leiden_n15_r0.3	5	0.9512415250506295	0.9649114421202726	0.9225441347300863	219	65	True
30	0.7	leiden_n30_r0.7	9	0.9501552795031056	0.8622187392669937	0.8867830165703041	105	43	True
30	0.9	leiden_n30_r0.9	11	0.9366265737813773	0.8465605559059807	0.8716850759538516	89	27	True
15	0.7	leiden_n15_r0.7	10	0.9215686274509803	0.8110071983506709	0.8503835452904941	106	44	True
15	0.5	leiden_n15_r0.5	8	0.8924494782626519	0.7609831189124635	0.8171951246473754	106	44	True
15	0.9	leiden_n15_r0.9	12	0.861764412775923	0.6878452889886966	0.7758071986923026	95	44	True
