cluster_key	cluster	n_cells	n_donors
leiden_n15_r0.3	0	5886	122
leiden_n15_r0.3	1	3742	115
leiden_n15_r0.3	2	1375	111
leiden_n15_r0.3	3	458	85
leiden_n15_r0.3	4	219	65
leiden_n15_r0.5	0	5827	121
leiden_n15_r0.5	1	2780	104
leiden_n15_r0.5	2	1421	112
leiden_n15_r0.5	3	938	77
leiden_n15_r0.5	4	373	76
leiden_n15_r0.5	5	121	44
leiden_n15_r0.5	6	114	47
leiden_n15_r0.5	7	106	47
leiden_n15_r0.7	0	3228	97
leiden_n15_r0.7	1	2742	104
leiden_n15_r0.7	2	2636	93
leiden_n15_r0.7	3	1393	111
leiden_n15_r0.7	4	880	70
leiden_n15_r0.7	5	296	68
leiden_n15_r0.7	6	164	56
leiden_n15_r0.7	7	118	44
leiden_n15_r0.7	8	117	47
leiden_n15_r0.7	9	106	47
leiden_n15_r0.9	0	2658	104
leiden_n15_r0.9	1	2283	87
leiden_n15_r0.9	2	2120	91
leiden_n15_r0.9	3	1428	111
leiden_n15_r0.9	4	1421	73
leiden_n15_r0.9	5	961	71
leiden_n15_r0.9	6	202	53
leiden_n15_r0.9	7	165	56
leiden_n15_r0.9	8	120	44
leiden_n15_r0.9	9	119	47
leiden_n15_r0.9	10	108	47
leiden_n15_r0.9	11	95	44
leiden_n30_r0.3	0	5929	124
leiden_n30_r0.3	1	3631	113
leiden_n30_r0.3	2	1556	124
leiden_n30_r0.3	3	564	96
leiden_n30_r0.5	0	5864	122
leiden_n30_r0.5	1	3630	113
leiden_n30_r0.5	2	1396	111
leiden_n30_r0.5	3	457	85
leiden_n30_r0.5	4	220	65
leiden_n30_r0.5	5	113	47
leiden_n30_r0.7	0	3706	103
leiden_n30_r0.7	1	2719	104
leiden_n30_r0.7	2	2176	86
leiden_n30_r0.7	3	1375	110
leiden_n30_r0.7	4	905	68
leiden_n30_r0.7	5	465	85
leiden_n30_r0.7	6	115	47
leiden_n30_r0.7	7	114	43
leiden_n30_r0.7	8	105	47
leiden_n30_r0.9	0	3231	95
leiden_n30_r0.9	1	2661	104
leiden_n30_r0.9	2	2540	94
leiden_n30_r0.9	3	1399	111
leiden_n30_r0.9	4	963	69
leiden_n30_r0.9	5	292	68
leiden_n30_r0.9	6	165	56
leiden_n30_r0.9	7	119	47
leiden_n30_r0.9	8	116	43
leiden_n30_r0.9	9	105	47
leiden_n30_r0.9	10	89	27
