test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
JAM2	0.843026004728135	0.0602816561944196	0.0515211110938356	0.147529182507099	94	Pericyte_cg_vascular_stabilizing
LAMC3	0.835727708068131	0.0600066387164653	0.0512460936158812	0.142415538131031	95	Pericyte_cg_vascular_stabilizing
COL27A1	0.822513184215313	0.0599223932186148	0.0511618481180308	0.140623644980682	96	Pericyte_cg_vascular_stabilizing
ADAM17	0.824513547917804	0.0596913422323069	0.0509307971317229	0.124320281219278	97	Pericyte_cg_vascular_stabilizing
LGALS3BP	0.832721100806207	0.0594399089065608	0.0506793638059767	0.131587861960823	98	Pericyte_cg_vascular_stabilizing
F8	0.818136630902589	0.0593257863118379	0.0505652412112539	0.117403631015202	99	Pericyte_cg_vascular_stabilizing
BMP5	0.78845850760744	0.0592918983885985	0.0505313532880144	0.133543090703972	100	Pericyte_cg_vascular_stabilizing
HAS1	0.846420561314176	0.0592884176110621	0.0505278725104781	0.144237421622993	101	Pericyte_cg_vascular_stabilizing
ADAM9	0.816960659513852	0.0592842419550413	0.0505236968544573	0.120233689021373	102	Pericyte_cg_vascular_stabilizing
BMP3	0.788991937928104	0.059109320561	0.050348775460416	0.128084136332655	103	Pericyte_cg_vascular_stabilizing
CALM1	0.812765957446809	0.0590606464194852	0.0503001013189011	0.104901406389503	104	Pericyte_cg_vascular_stabilizing
COMP	0.804740255804086	0.0589902964135237	0.0502297513129397	0.123507354542497	105	Pericyte_cg_vascular_stabilizing
COL21A1	0.816281748196644	0.0588507612413806	0.0500902161407966	0.137351885510473	106	Pericyte_cg_vascular_stabilizing
HBEGF	0.827592895678003	0.0587283558575	0.049967810756916	0.108838786778788	107	Pericyte_cg_vascular_stabilizing
CD99	0.823483057525612	0.0586117760730135	0.0498512309724295	0.0866287918541453	108	Pericyte_cg_vascular_stabilizing
COL13A1	0.833133296963086	0.0584742326924978	0.0497136875919138	0.141386712507953	109	Pericyte_cg_vascular_stabilizing
CLDN1	0.785936837000664	0.0583566816941699	0.0495961365935858	0.126038592299681	110	Pericyte_cg_vascular_stabilizing
SERPINE1	0.766781839122261	0.0581899685363717	0.0494294234357877	0.12493890267596	111	Pericyte_cg_vascular_stabilizing
NCAM1	0.833969812693214	0.0581852246384108	0.0494246795378268	0.140253852194659	112	Pericyte_cg_vascular_stabilizing
INHBA	0.8007395283991	0.0580872718018002	0.0493267267012162	0.108663026706317	113	Pericyte_cg_vascular_stabilizing
GDF10	0.813917682002788	0.0579939756879835	0.0492334305873995	0.139212275019188	114	Pericyte_cg_vascular_stabilizing
GPC3	0.810317027338306	0.0579430435917913	0.0491824984912073	0.138239616233415	115	Pericyte_cg_vascular_stabilizing
MCAM	0.832490755895011	0.0578699724009509	0.0491094273003668	0.119771262961331	116	Pericyte_cg_vascular_stabilizing
COL18A1	0.828114202582286	0.0578330980188841	0.0490725529183	0.139326876349475	117	Pericyte_cg_vascular_stabilizing
ICAM4	0.810571619082254	0.0578195669113787	0.0490590218107947	0.139563685567741	118	Pericyte_cg_vascular_stabilizing
SOSTDC1	0.818269988482754	0.057678340175076	0.048917795074492	0.135049018748749	119	Pericyte_cg_vascular_stabilizing
LAMA4	0.846202339819357	0.0575585742355255	0.0487980291349415	0.143386903426906	120	Pericyte_cg_vascular_stabilizing
LAMC2	0.833133296963083	0.0573747823331607	0.0486142372325767	0.128717714418474	121	Pericyte_cg_vascular_stabilizing
COL24A1	0.80420682548342	0.0573553412381553	0.0485947961375713	0.136386652907198	122	Pericyte_cg_vascular_stabilizing
