arm	outcome	evaluable	n_units	estimate	SE	t	p_value	mde_80pct	verdict	hlca_beta	hlca_null_mean	hlca_empirical_p	same_sign_as_hlca	scale_note
smad	bm_minus_fibrillar_z	TRUE	21	-0.0828050741951744	0.128803179081097	-0.642880671004548	0.528878007103268	0.360906507785233		-0.1869	0.0263	0.013	TRUE	HLCA is z-within-dataset across 25 studies; this is z-within-compartment inside ONE study. Signs and significance only -- never difference the two betas.
ieg	bm_minus_fibrillar_z	TRUE	21	0.0368764747588271	0.136480763004911	0.270195402977783	0.790262690595759	0.38241909793976		-0.0138	0.224	0.000999	FALSE	HLCA is z-within-dataset across 25 studies; this is z-within-compartment inside ONE study. Signs and significance only -- never difference the two betas.
smad	bm_z	FALSE	21						NOT EVALUABLE: the BM-alone endpoint has a matched null of +0.047, not 0, and this pseudobulk carries no background genes to rebuild one	-0.0025	0.0472	0.5245		HLCA is z-within-dataset across 25 studies; this is z-within-compartment inside ONE study. Signs and significance only -- never difference the two betas.
ieg	bm_z	FALSE	21						NOT EVALUABLE: same reason; HLCA matched null +0.450	-0.1867	0.4495	0.000999		HLCA is z-within-dataset across 25 studies; this is z-within-compartment inside ONE study. Signs and significance only -- never difference the two betas.
