grp	var1	var2	vcov	sdcor
donor_id	(Intercept)	NA	0.0104434233603386	0.102193069042566
study	(Intercept)	NA	0.0168828985234621	0.12993420844205
Residual	NA	NA	0.0542458483441191	0.232907381471947
