pericyte_state	COPD	COVID-19	Chronic rhinitis	End-stage lung fibrosis, unknown etiology	HP	Healthy	Healthy (tumor adjacent)	ILD	IPF	Large Cell Carcinoma	Lung adenocarcinoma	Lymphangioleiomyomatosis	NSIP	Pleiomorphic Carcinoma	Sarcoidosis	Squamous Cell Carcinoma	Systemic sclerosis-associated ILD
0	8	388	1	5	28	2268	1392	1	1128	6	74	3	56	16	52	8	430
1	15	991	0	77	0	2134	221	0	135	2	12	0	0	2	0	8	33
2	10	157	4	23	3	595	193	0	263	5	18	2	7	7	7	12	90
3	5	64	0	4	3	218	55	1	75	0	6	0	3	1	4	1	17
4	2	38	1	6	0	105	19	0	33	0	2	0	1	0	1	1	11
5	1	35	0	2	0	55	7	0	9	0	1	0	1	0	0	0	2
