gene	n_donors_control	n_donors_copd	n_donors_ipf	mean_control	mean_copd	mean_ipf	sd_between_donor_ipf	mde_log1p_cp10k	estimable
COL4A1	1	6	15	2.26183297648294	3.04008207581563	3.01181700202502	0.244828494327221	NA	FALSE
COL4A2	1	6	15	2.40099192724567	2.78097883971703	2.87553340773105	0.185402377609461	NA	FALSE
COL18A1	1	6	15	1.4239704474607	0.732841839731832	1.43337994976314	0.382129105139766	NA	FALSE
LAMA3	1	6	15	0.453224936471382	0.399719061119243	0.848463595529488	0.507623355804824	NA	FALSE
LAMA4	1	6	15	1.10088410576174	0.669319952505133	1.08084666477105	0.426710247997054	NA	FALSE
LAMA5	1	6	15	0.453224936471382	0.149008068786531	0.202407010075078	0.170447958309589	NA	FALSE
LAMB1	1	6	15	1.35245063986911	1.80326648163912	1.76216578458463	0.472330628513504	NA	FALSE
LAMB2	1	6	15	0.62061255440408	0.176436300107083	0.550129895018324	0.204497273792447	NA	FALSE
LAMC1	1	6	15	1.49071481176441	0.603536333910252	0.830612955825441	0.285724188918852	NA	FALSE
NID1	1	6	15	2.0643960083858	2.27449506330028	1.84935015761912	0.299489583441971	NA	FALSE
NID2	1	6	15	0	0.0741902458038566	0.100793654005186	0.110543888238448	NA	FALSE
HSPG2	1	6	15	0.252072274251557	0.289818493931614	0.27594873400723	0.39506330119527	NA	FALSE
AGRN	1	6	15	0.453224936471382	0.101724168036468	0.180631498168914	0.203045070912175	NA	FALSE
