gene	predictor	estimate	SE	z_value	p_value	singular	max_grad	converged	n_warnings
ADGRD1	basement_membrane_score_z	0.138638419439093	0.0149355824652117	9.2824246903	1.65664869156581e-20	FALSE	0.000780091795604676	TRUE	0
ADGRD1	bm_minus_fibrillar_z	0.118823762829818	0.0149942733601066	7.92460961435835	2.28864188928045e-15	FALSE	0.00228741555474699	TRUE	0
ATP5MC2	basement_membrane_score_z	-0.0693338208343433	0.0132864580673852	-5.21838254278918	1.80492381976328e-07	FALSE	0.00117517629405484	TRUE	0
ATP5MC2	bm_minus_fibrillar_z	-0.0162294393939712	0.0131268526079227	-1.23635420300034	0.216326931431726	FALSE	0.00206631739274599	TRUE	0
COX8A	basement_membrane_score_z	-0.0315432344220846	0.0145298754968194	-2.17092255394682	0.0299370271306938	FALSE	0.000269974407274276	TRUE	1
COX8A	bm_minus_fibrillar_z	0.0114204023768571	0.0140115013865863	0.81507342159565	0.415030284256597	FALSE	0.00151228960021399	TRUE	1
FXYD1	basement_membrane_score_z	-0.0764221673950752	0.0151797521595645	-5.03448057595083	4.79146256226311e-07	FALSE	0.00148034814628772	TRUE	0
FXYD1	bm_minus_fibrillar_z	-0.00925043817781489	0.0152027506933653	-0.608471346034236	0.542874904712783	FALSE	0.0013172029866837	TRUE	0
KLF9	basement_membrane_score_z	0.019525221584808	0.0141749876703972	1.37744187429413	0.168375674010994	FALSE	0.0034150252758991	TRUE	0
KLF9	bm_minus_fibrillar_z	-0.00412441482705386	0.0138970904691466	-0.296782613325475	0.766632480306328	FALSE	0.00320358594763093	TRUE	0
NEXN	basement_membrane_score_z	0.0419551945277196	0.0149696650339097	2.80268091722036	0.00506797826707129	FALSE	0.00127598468679935	TRUE	0
NEXN	bm_minus_fibrillar_z	-0.0149673316492812	0.0147173159406269	-1.01698786039947	0.309159204440475	FALSE	0.00277517756330781	TRUE	0
PRKG1	basement_membrane_score_z	0.0458581374725761	0.0111658542730975	4.10699766905113	4.00835272955164e-05	FALSE	0.00129903128254227	TRUE	0
PRKG1	bm_minus_fibrillar_z	0.0145785927781881	0.0110888430443009	1.31470819092175	0.188607992704342	FALSE	0.000142208591569215	TRUE	0
SOD1	basement_membrane_score_z	-0.0494145306805038	0.0135410896010497	-3.64922854337166	0.00026302902185328	FALSE	0.000728523446014151	TRUE	0
SOD1	bm_minus_fibrillar_z	0.0104021447318234	0.0131240680299581	0.792600640904835	0.428010535207791	FALSE	0.00079573510447517	TRUE	0
TUBB	basement_membrane_score_z	-0.00126058669422976	0.0144767819238679	-0.0870764442580588	0.930610749011814	FALSE	0.00161559000844136	TRUE	0
TUBB	bm_minus_fibrillar_z	-0.0088963973122454	0.0142737262079844	-0.62327083920588	0.533106557164531	FALSE	0.00154223016579635	TRUE	0
