comparison	pearson_r	pearson_ci_lo	pearson_ci_hi	pearson_p	spearman_rho	spearman_p	n_units
basement_membrane vs fibrillar_ecm_score	0.259315328767483	0.129709877106203	0.380208808134219	0.000124504569166586	0.238600304281678	0.000445358770495088	214
basement_membrane vs fibroblast_like_noCOL4A1_score	0.258470700366851	0.128819697073746	0.379434104534521	0.000131228507958505	0.208791720109835	0.00217835146245938	214
basement_membrane vs fibroblast_like_score	0.390341013721682	0.270379119760103	0.498367446209339	3.35934835477823e-09	0.330194599459395	9.00673026707857e-07	214
