score	contrast	estimate	SE	df	t.ratio	p.value
basement_membrane_score_z	pericyte_state0 - pericyte_state1	-0.404002810941122	0.172979125477162	92.5892621009731	-2.33555817689957	0.0325106648692045
basement_membrane_score_z	pericyte_state0 - pericyte_state2	0.555473994041756	0.170885986140104	146.931130931853	3.25055322901868	0.00267789981704331
basement_membrane_score_z	pericyte_state0 - pericyte_state3	-1.27118929096525	0.168508590004647	141.510597975533	-7.5437655191952	2.52493452537854e-11
basement_membrane_score_z	pericyte_state0 - pericyte_state4	0.378639189890354	0.220561110779537	146.828129689603	1.71670875501178	0.101701331982371
basement_membrane_score_z	pericyte_state0 - pericyte_state5	-0.623118949676193	0.335343510258604	133.544387691559	-1.85815121096475	0.0816867412917781
basement_membrane_score_z	pericyte_state1 - pericyte_state2	0.959476804982877	0.126186839940895	139.200179116117	7.60362019868545	2.52493452537854e-11
basement_membrane_score_z	pericyte_state1 - pericyte_state3	-0.867186480024132	0.181663872090948	150.639096296007	-4.77357699163202	1.27392445713757e-05
basement_membrane_score_z	pericyte_state1 - pericyte_state4	0.782642000831476	0.197819798191014	138.346240312686	3.95633808136716	0.000302713063057415
basement_membrane_score_z	pericyte_state1 - pericyte_state5	-0.219116138735071	0.337795155502286	134.69400572289	-0.648665722897225	0.517658862537645
basement_membrane_score_z	pericyte_state2 - pericyte_state3	-1.82666328500701	0.184923771845743	145.313081566092	-9.87792573542546	9.55662325619607e-17
basement_membrane_score_z	pericyte_state2 - pericyte_state4	-0.176834804151402	0.200025046137163	130.843489264431	-0.88406330890253	0.405303879844674
basement_membrane_score_z	pericyte_state2 - pericyte_state5	-1.17859294371795	0.338580062466289	131.52697997056	-3.48098743656914	0.00145370408549603
basement_membrane_score_z	pericyte_state3 - pericyte_state4	1.64982848085561	0.224804708402804	129.704446432995	7.33894095269328	7.85952253511855e-11
basement_membrane_score_z	pericyte_state3 - pericyte_state5	0.648070341289061	0.342570217781408	126.13875125657	1.89178833316617	0.0816867412917781
basement_membrane_score_z	pericyte_state4 - pericyte_state5	-1.00175813956655	0.35645369311665	125.117630231163	-2.8103458006219	0.00957609124370509
bm_v1_score_z	pericyte_state0 - pericyte_state1	-0.43520312366744	0.182308988100754	90.8994844550083	-2.38717316244947	0.0259770190102412
bm_v1_score_z	pericyte_state0 - pericyte_state2	0.442210142151852	0.180479238681897	146.807828929157	2.45019950982432	0.0231799956020492
bm_v1_score_z	pericyte_state0 - pericyte_state3	-1.08557889956969	0.17859772163017	142.413040623377	-6.07834685493721	5.27808533893427e-08
bm_v1_score_z	pericyte_state0 - pericyte_state4	0.306064944267031	0.233579374193711	147.564873447104	1.31032521738502	0.221678929694647
bm_v1_score_z	pericyte_state0 - pericyte_state5	-1.18770978751317	0.355829399318314	134.758303084565	-3.33786300341833	0.00181940808547747
bm_v1_score_z	pericyte_state1 - pericyte_state2	0.877413265819292	0.133718161152358	139.801686243099	6.56166117046413	7.2057236643963e-09
bm_v1_score_z	pericyte_state1 - pericyte_state3	-0.650375775902254	0.192307357630105	151.453480160878	-3.38195992039589	0.00171737446708742
bm_v1_score_z	pericyte_state1 - pericyte_state4	0.741268067934472	0.209798573218667	139.560579000221	3.53323693560999	0.00119374782346396
bm_v1_score_z	pericyte_state1 - pericyte_state5	-0.752506663845727	0.35836208305218	135.807855909728	-2.09985012207934	0.0469897238679672
bm_v1_score_z	pericyte_state2 - pericyte_state3	-1.52778904172155	0.195989358652594	146.245557687124	-7.79526527473193	1.6557795642105e-11
bm_v1_score_z	pericyte_state2 - pericyte_state4	-0.136145197884821	0.212302108863753	131.978226578734	-0.641280478151977	0.559770595228712
bm_v1_score_z	pericyte_state2 - pericyte_state5	-1.62991992966502	0.35932400386295	132.626665276729	-4.53607304867583	3.80666956766931e-05
bm_v1_score_z	pericyte_state3 - pericyte_state4	1.39164384383673	0.238590759117623	130.460794010673	5.83276506174601	1.52451113621593e-07
bm_v1_score_z	pericyte_state3 - pericyte_state5	-0.102130887943473	0.363727260042832	127.140605983905	-0.280789754200568	0.779328074764366
bm_v1_score_z	pericyte_state4 - pericyte_state5	-1.4937747317802	0.378493264684954	125.939414532428	-3.94663491046154	0.000327417360442309
bm_collagen_iv_score_z	pericyte_state0 - pericyte_state1	-0.491141826738772	0.208674427423113	79.3817623088296	-2.35362728822983	0.078994501373348
bm_collagen_iv_score_z	pericyte_state0 - pericyte_state2	0.13601230639141	0.211017385466775	147.251569563828	0.64455497868362	0.69314422195501
bm_collagen_iv_score_z	pericyte_state0 - pericyte_state3	-0.596428073713251	0.21506033536654	151.615077967355	-2.7733057920547	0.031230445299308
bm_collagen_iv_score_z	pericyte_state0 - pericyte_state4	-0.0459995740289688	0.27950713393141	155.816169170666	-0.164573881825345	0.869492692356084
bm_collagen_iv_score_z	pericyte_state0 - pericyte_state5	-0.270278653645816	0.433063038031923	150.546264158846	-0.624109263339839	0.69314422195501
bm_collagen_iv_score_z	pericyte_state1 - pericyte_state2	0.627154133130183	0.160865540027054	145.531063587014	3.89862324165081	0.00220804371811294
bm_collagen_iv_score_z	pericyte_state1 - pericyte_state3	-0.105286246974478	0.229437113631989	160.462200454541	-0.458889345789777	0.69314422195501
bm_collagen_iv_score_z	pericyte_state1 - pericyte_state4	0.445142252709804	0.254162263009094	153.651715979557	1.75140969961334	0.204676823143763
bm_collagen_iv_score_z	pericyte_state1 - pericyte_state5	0.220863173092956	0.435572859102761	150.224777833746	0.50706367138649	0.69314422195501
bm_collagen_iv_score_z	pericyte_state2 - pericyte_state3	-0.732440380104661	0.236389017911054	156.995585149172	-3.09845350083165	0.0172915779880283
bm_collagen_iv_score_z	pericyte_state2 - pericyte_state4	-0.182011880420379	0.259094819955104	145.864188090712	-0.702491390804023	0.69314422195501
bm_collagen_iv_score_z	pericyte_state2 - pericyte_state5	-0.406290960037226	0.438225249381716	147.127855597796	-0.927128139262753	0.69314422195501
bm_collagen_iv_score_z	pericyte_state3 - pericyte_state4	0.550428499684282	0.29143728232535	139.953451627978	1.88866879107733	0.18301662734791
bm_collagen_iv_score_z	pericyte_state3 - pericyte_state5	0.326149420067434	0.445475405070205	140.426343593298	0.732137883158858	0.69314422195501
bm_collagen_iv_score_z	pericyte_state4 - pericyte_state5	-0.224279079616847	0.464161455905007	136.834229414236	-0.483191951342783	0.69314422195501
bm_laminin_score_z	pericyte_state0 - pericyte_state1	-0.305353031158921	0.181695218616501	79.2533437375946	-1.68057824242156	0.120978013704852
bm_laminin_score_z	pericyte_state0 - pericyte_state2	0.605965108098102	0.183803847418877	147.288618410208	3.29680317690601	0.0026264169026459
bm_laminin_score_z	pericyte_state0 - pericyte_state3	-1.2179489025706	0.187406491757532	151.775933045944	-6.49896858507117	4.46943670498519e-09
bm_laminin_score_z	pericyte_state0 - pericyte_state4	0.514231273188048	0.243544553696549	155.973346993288	2.11144640840036	0.0544918978000207
