gene	value_type	block	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	n_units	n_donors	is_pericyte_contrast	study_dominated	p_BH
LAMA5	detect	basement_membrane	Fibroblasts - Ambient reference	-0.0941331241387084	0.00875243305701457	950.150337386342	-10.7550807330387	3.08945315901995e-25	0.0605445851955539	0.122003083366225	1054	200	FALSE	FALSE	8.23854175738654e-25
LAMA5	detect	basement_membrane	Pericytes - Ambient reference	-0.0908379486570662	0.018742092709071	937.912568370637	-4.84673457052646	1.46823892264199e-06	0.0605445851955539	0.122003083366225	1054	200	TRUE	FALSE	2.17516877428444e-06
LAMB1	detect	basement_membrane	Fibroblasts - Ambient reference	0.303432623405353	0.0111529089857338	967.423202185061	27.2065901186397	3.33404285189755e-121	0.0521820095331885	0.15640392663261	1054	200	FALSE	FALSE	2.22269523459837e-120
LAMB1	detect	basement_membrane	Pericytes - Ambient reference	0.575336245775505	0.0239082473087274	956.930915468001	24.0643422475175	1.94783171144521e-100	0.0521820095331885	0.15640392663261	1054	200	TRUE	FALSE	9.73915855722607e-100
LAMB2	detect	basement_membrane	Fibroblasts - Ambient reference	0.115090753797108	0.0103798448015347	950.425261613546	11.0879069964602	1.18950205508449e-26	0.0679824934940184	0.144705685808025	1054	200	FALSE	FALSE	3.39857730024139e-26
LAMB2	detect	basement_membrane	Pericytes - Ambient reference	-0.0140727156996819	0.0222273630566431	937.975609700298	-0.633125740728654	0.526805862068718	0.0679824934940184	0.144705685808025	1054	200	TRUE	FALSE	0.60206384236425
LAMB3	detect	basement_membrane	Fibroblasts - Ambient reference	0.00467542771615701	0.00215959352091018	917.560267027471	2.1649572805657	0.0612962865244802	0.0188663727140413	0.0298183176651749	1054	200	FALSE	FALSE	0.0790919826122325
LAMB3	detect	basement_membrane	Pericytes - Ambient reference	0.00255947213681295	0.00461434777671943	904.23562261159	0.554676903575873	0.579252843345258	0.0188663727140413	0.0298183176651749	1054	200	TRUE	FALSE	0.64361427038362
LAMB4	detect	basement_membrane	Fibroblasts - Ambient reference	0.000903299051554277	0.000789352576041118	927.79856599435	1.14435434680487	0.252771850467723	0.0039238414929292	0.0109343643030241	1054	200	FALSE	FALSE	0.306390121779058
LAMB4	detect	basement_membrane	Pericytes - Ambient reference	0.00519539491005091	0.00168763592777462	913.216279388479	3.0785045663858	0.00428515686965464	0.0039238414929292	0.0109343643030241	1054	200	TRUE	FALSE	0.00591056119952364
LAMC1	detect	basement_membrane	Fibroblasts - Ambient reference	0.334510155974838	0.00985631785449734	970.539072490836	33.9386534518267	8.77121186809657e-167	0.066624831696223	0.138306427565973	1054	200	FALSE	FALSE	1.16949491574621e-165
