term	estimate	SE	df	t_ratio	p_value	outcome	converged	max_grad	dropped_gene
logo_CCN2_z	-0.247135418873691	0.0672749510585552	209.992546666186	-3.67351317221455	0.000303628203351057	basement_membrane_score_z	TRUE		CCN2
logo_SKIL_z	-0.216032248091368	0.0680097448741207	210.315577600844	-3.17648961176405	0.00171482390171839	basement_membrane_score_z	TRUE		SKIL
logo_PMEPA1_z	-0.210475686643321	0.0679915591466711	210.987994937558	-3.09561494522112	0.00223048277855776	basement_membrane_score_z	TRUE		PMEPA1
logo_CCN1_z	-0.206797205371671	0.0680498215512026	210.77351566777	-3.03890885615433	0.00267474680342934	basement_membrane_score_z	TRUE		CCN1
logo_CDKN1A_z	-0.201404683644744	0.0677541704028235	210.752646775468	-2.97257987880774	0.00329661792398254	basement_membrane_score_z	TRUE		CDKN1A
logo_SKI_z	-0.200969557935665	0.0684522381191811	210.919278266762	-2.93590923332207	0.00369454712664266	basement_membrane_score_z	TRUE		SKI
logo_SMAD7_z	-0.194778738168214	0.0685912579723506	210.986514807937	-2.83970208341609	0.00495729838748567	basement_membrane_score_z	TRUE		SMAD7
logo_KLF10_z	-0.194438238189383	0.0683093449546634	210.916589695077	-2.84643687212095	0.00485763788259018	basement_membrane_score_z	TRUE		KLF10
logo_TGFBI_z	-0.193995510458267	0.0682263483001906	210.993546039952	-2.84341043147586	0.00490209758687595	basement_membrane_score_z	TRUE		TGFBI
logo_BAMBI_z	-0.192498803298535	0.0687379619720132	210.998866779055	-2.80047295229543	0.00557669037206446	basement_membrane_score_z	TRUE		BAMBI
logo_ID2_z	-0.192224149570874	0.0685810062450441	210.815174695368	-2.80287735767605	0.00553721056935814	basement_membrane_score_z	TRUE		ID2
logo_TGIF1_z	-0.189520955115866	0.0684571557076699	210.981788887354	-2.7684608446949	0.0061334285603428	basement_membrane_score_z	TRUE		TGIF1
logo_SERPINE2_z	-0.188302600616089	0.0686364696514352	210.926808889328	-2.74347736083118	0.00660254310188088	basement_membrane_score_z	TRUE		SERPINE2
logo_SNAI1_z	-0.186367084400928	0.068715183489463	210.927756480793	-2.7121674561126	0.00723602910407284	basement_membrane_score_z	TRUE		SNAI1
logo_ID1_z	-0.176478892207203	0.0680513697207393	209.884397148898	-2.59331873746869	0.0101744731720293	basement_membrane_score_z	TRUE		ID1
logo_ID3_z	-0.153862789433178	0.0682176583121292	210.999922212527	-2.25546864609717	0.0251299593473622	basement_membrane_score_z	TRUE		ID3
logo_JUNB_z	-0.132445046576169	0.0690517301986865	209.25748433761	-1.91805543749704	0.0564652309281052	basement_membrane_score_z	TRUE		JUNB
logo_ID1_z	-0.165712669145295	0.0686679953473635	206.392248573038	-2.41324460262778	0.0166847479986085	bm_minus_fibrillar_z	TRUE		ID1
logo_CCN2_z	-0.164148277334209	0.0690600193425964	208.156882737794	-2.37689301127898	0.0183652602558805	bm_minus_fibrillar_z	TRUE		CCN2
logo_SKIL_z	-0.157351751017828	0.0693902138917758	207.797556155943	-2.26763605691202	0.0243799705983793	bm_minus_fibrillar_z	TRUE		SKIL
logo_ID3_z	-0.142660299477288	0.0689956266478903	208.811291447459	-2.06767162512104	0.0399034936212935	bm_minus_fibrillar_z	TRUE		ID3
logo_ID2_z	-0.133649870298685	0.0698434001100393	208.483620545374	-1.91356477617238	0.0570455630119919	bm_minus_fibrillar_z	TRUE		ID2
logo_KLF10_z	-0.132602174713182	0.0696554366307963	208.787271749015	-1.90368736637214	0.0583261873830181	bm_minus_fibrillar_z	TRUE		KLF10
logo_SMAD7_z	-0.13149239212205	0.0699690638632737	209.206548119259	-1.87929328851675	0.0615947512205378	bm_minus_fibrillar_z	TRUE		SMAD7
logo_CCN1_z	-0.130805471880211	0.0695000496113057	209.088901816405	-1.88209177708174	0.0612126431768982	bm_minus_fibrillar_z	TRUE		CCN1
logo_SKI_z	-0.12953599440699	0.0699225378287295	208.877142637818	-1.8525642579547	0.065355647682083	bm_minus_fibrillar_z	TRUE		SKI
logo_SNAI1_z	-0.128980308314122	0.0699872438608823	208.820732570443	-1.84291166788199	0.0667593972400228	bm_minus_fibrillar_z	TRUE		SNAI1
logo_CDKN1A_z	-0.12884489899972	0.0693637819352955	210.148789494615	-1.85752413442378	0.0646356025156903	bm_minus_fibrillar_z	TRUE		CDKN1A
logo_BAMBI_z	-0.126451810647681	0.0701417847382316	209.389304886546	-1.80280286735785	0.0728570306556656	bm_minus_fibrillar_z	TRUE		BAMBI
logo_TGIF1_z	-0.126166619487047	0.0698148149462526	209.117169379889	-1.80716112452891	0.0721744004068904	bm_minus_fibrillar_z	TRUE		TGIF1
logo_SERPINE2_z	-0.125624877991114	0.0699540695937229	208.824887261635	-1.79581943867905	0.0739688818054403	bm_minus_fibrillar_z	TRUE		SERPINE2
logo_JUNB_z	-0.121202964963284	0.0700030799798056	210.663333154715	-1.73139474717754	0.0848453941015674	bm_minus_fibrillar_z	TRUE		JUNB
logo_TGFBI_z	-0.114784273661108	0.0697247012027522	209.091562761607	-1.64624977491588	0.101214566220082	bm_minus_fibrillar_z	TRUE		TGFBI
logo_PMEPA1_z	-0.114054192455364	0.0697401952658074	209.239132441778	-1.63541544471819	0.103465398947582	bm_minus_fibrillar_z	TRUE		PMEPA1
