arm	outcome	beta_observed	p_model	n_null	null_mean	null_sd	null_q025	null_q975	z_vs_null	empirical_p	empirical_p_lower	detectable_effect_80	ref_beta	outside_null	well_powered	arm_verdict
smad	basement_membrane_score_z	-0.00250782921135407	0.970238896049512	1000	0.0472250331792947	0.0697722726683653	-0.0823486803479994	0.185694387885763	-0.71278833967519	0.524475524475525	0.264735264735265	0.0893936701969463	0.196	FALSE	TRUE	null, adequately powered
smad	bm_minus_fibrillar_z	-0.186850285180937	0.00499492294847857	1000	0.0262603518307251	0.0977134077573921	-0.127794264861112	0.221057711934507	-2.18097640746277	0.012987012987013	0.000999000999000999	0.130640238156998	0.196	TRUE	TRUE	carries the association
ieg	basement_membrane_score_z	-0.186730764259557	0.00622610504931616	1000	0.449540639674987	0.0537695224941171	0.335512586742614	0.520445217368386	-11.8333095482512	0.000999000999000999	0.000999000999000999	0.0653840937295194	0.196	TRUE	TRUE	carries the association
ieg	bm_minus_fibrillar_z	-0.0137755476166829	0.842643005367097	1000	0.224001141260454	0.0829834794107003	0.0705805095181699	0.349570982838114	-2.86534971256552	0.000999000999000999	0.000999000999000999	0.119083603600265	0.196	TRUE	TRUE	carries the association
