grp	var1	var2	vcov	sdcor
donor_id	(Intercept)	NA	0.0581732003710662	0.241191211222686
dataset	(Intercept)	NA	1.1260631163647e-31	3.35568639232677e-16
study	(Intercept)	NA	1.04083083749274e-31	3.22619100099907e-16
Residual	NA	NA	0.821968598776211	0.906624839046566
