gene	value_type	with_depth	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	study_dominated	n_units	n_donors	p_BH_across_genes
COL4A1	detect	TRUE	Pericytes - AT1	2.1559313814775	0.0885605314080486	2135.28119677227	-24.3441558807263	1.73465407198126e-115	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	7.48069568541919e-115
COL4A1	detect	TRUE	Pericytes - AT2_AGTR2det	3.56041150163282	0.101715801280658	2145.30463674676	-35.0035241015188	2.27131527995721e-212	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	3.22660376535097e-211
COL4A1	detect	TRUE	Pericytes - AT2_AGTR2undet	3.42810415501959	0.0899090245390084	2192.63392290424	-38.1285880098972	7.52660309505472e-244	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	2.27209330931964e-242
COL4A1	detect	TRUE	Pericytes - Adventitial fibroblasts	2.32835034968716	0.0936197576468978	2177.71679021114	-24.8702881550807	4.1552458971332e-120	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	1.8412695122159e-119
COL4A1	detect	TRUE	Pericytes - Alveolar fibroblasts	2.06522869164299	0.0910802301174529	2125.23302668962	-22.6748295319386	6.50697199965776e-102	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	2.66344701341924e-101
COL4A1	detect	TRUE	Pericytes - Alveolar macrophages	3.44094699631106	0.0897541270003082	2196.42776184159	-38.3374794152836	6.29402506311367e-246	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	2.17143864677422e-244
COL4A1	detect	TRUE	Pericytes - Classical monocytes	3.22175546502528	0.085253866763074	2145.61326831189	-37.7901388799026	1.9048747667574e-239	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	5.41208536672838e-238
COL4A1	detect	TRUE	Pericytes - DC2	3.34092261042614	0.0862194195522154	2169.89014391352	-38.7490733268373	4.53198492783692e-249	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	1.98995338195021e-247
COL4A1	detect	TRUE	Pericytes - EC aerocyte capillary	1.94063412077362	0.0946965375693327	2116.37326784524	-20.4931898312836	3.84050213934509e-85	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	1.48397002664294e-84
COL4A1	detect	TRUE	Pericytes - EC general capillary	1.3050241121928	0.0885805542365708	2122.12919104566	-14.7326252747018	7.93820348841713e-47	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	2.24219431865817e-46
COL4A1	detect	TRUE	Pericytes - EC venous pulmonary	2.43202217574259	0.0921381835005423	2136.88043214498	-26.3953779350151	8.27156004146087e-133	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	3.87879951458796e-132
COL4A1	detect	TRUE	Pericytes - EC venous systemic	1.50704451435223	0.0947773102216377	2157.73728200569	-15.9008998127082	7.88896054637307e-54	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	2.36668816391192e-53
COL4A1	detect	TRUE	Pericytes - Interstitial macrophages	3.3942392323659	0.0872223312272044	2195.2234479217	-38.9147960689595	4.57683465767036e-251	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	2.21061113965478e-249
COL4A1	detect	TRUE	Pericytes - Lymphatic EC	1.86823691604818	0.0896697785460062	2142.36302525658	-20.8346328756646	9.26494808344072e-88	1.72038434862659e-17	0.513679970408528	FALSE	2329	220	3.63818693032672e-87
