R version 4.4.3 (2025-02-28)
Platform: x86_64-conda-linux-gnu
Running under: Red Hat Enterprise Linux 8.10 (Ootpa)

Matrix products: default
BLAS/LAPACK: /ocean/projects/bio250020p/shared/opt/env/R_env/lib/libopenblasp-r0.3.29.so;  LAPACK version 3.12.0

locale:
[1] C

time zone: America/New_York
tzcode source: system (glibc)

attached base packages:
[1] stats     graphics  grDevices utils     datasets  methods   base     

other attached packages:
[1] emmeans_2.0.1     lmerTest_3.2-0    lme4_1.1-37       Matrix_1.7-4     
[5] data.table_1.17.8 optparse_1.7.5   

loaded via a namespace (and not attached):
 [1] gtable_0.3.6        dplyr_1.1.4         compiler_4.4.3     
 [4] tidyselect_1.2.1    Rcpp_1.1.0          parallel_4.4.3     
 [7] pbkrtest_0.5.5      tidyr_1.3.1         splines_4.4.3      
[10] scales_1.4.0        boot_1.3-32         coda_0.19-4.1      
[13] lattice_0.22-7      ggplot2_4.0.0       R6_2.6.1           
[16] generics_0.1.4      backports_1.5.0     rbibutils_2.3      
[19] MASS_7.3-65         tibble_3.3.0        nloptr_2.2.1       
[22] minqa_1.2.8         pillar_1.11.1       RColorBrewer_1.1-3 
[25] R.utils_2.13.0      rlang_1.1.6         getopt_1.20.4      
[28] broom_1.0.10        S7_0.2.0            estimability_1.5.1 
[31] cli_3.6.5           magrittr_2.0.4      Rdpack_2.6.4       
[34] grid_4.4.3          xtable_1.8-4        mvtnorm_1.3-3      
[37] lifecycle_1.0.4     nlme_3.1-168        R.oo_1.27.1        
[40] R.methodsS3_1.8.2   reformulas_0.4.2    vctrs_0.6.5        
[43] glue_1.8.0          farver_2.1.2        numDeriv_2016.8-1.1
[46] purrr_1.1.0         tools_4.4.3         pkgconfig_2.0.3    
