ccc_group	emmean	SE	df	lower.CL	upper.CL	gene	value_type
Alveolar fibroblasts	1.70928669056945	0.0357835426807975	98.3989038331132	1.63827901254758	1.78029436859132	LAMA4	expr
Alveolar macrophages	0.00754793016640093	0.0319623970224595	62.9155188482554	-0.0563255021460311	0.071421362478833	LAMA4	expr
Classical monocytes	0.036572421164325	0.0315512590430102	60.4559356208846	-0.0265297054375067	0.0996745477661567	LAMA4	expr
DC2	0.0205995762640678	0.0304452604303432	52.4203485649508	-0.0404816496980054	0.081680802226141	LAMA4	expr
EC aerocyte capillary	0.121964698329876	0.0389910620413343	134.823994310898	0.0448514656651758	0.199077930994577	LAMA4	expr
EC general capillary	0.763730754206506	0.0351358711460695	89.6999799926525	0.693924032609506	0.833537475803505	LAMA4	expr
EC venous pulmonary	0.642869402042645	0.0360063811664322	101.026016384409	0.571442650407704	0.714296153677585	LAMA4	expr
EC venous systemic	0.750746122836391	0.0369928606919604	112.259049912463	0.677451358265391	0.82404088740739	LAMA4	expr
Interstitial macrophages	0.015583586258524	0.0312098908903731	58.2637574425608	-0.0468837770963176	0.0780509496133656	LAMA4	expr
Lymphatic EC	1.57303067272124	0.0344003252109262	84.602713047626	1.50462897308317	1.64143237235931	LAMA4	expr
Mast cells	0.0447112861472982	0.0337530407278363	78.6292397494156	-0.0224773869189412	0.111899959213538	LAMA4	expr
Myofibroblasts	0.843646678182091	0.050801108225838	367.59094255317	0.74374942377298	0.943543932591203	LAMA4	expr
Non-classical monocytes	-0.000638213674903299	0.0325879577805533	68.4012828623355	-0.0656595639769841	0.0643831366271775	LAMA4	expr
Peribronchial fibroblasts	1.19025611065206	0.0418167372048287	179.906857010381	1.1077417467496	1.27277047455453	LAMA4	expr
Subpleural fibroblasts	1.0373681949187	0.0938099170447095	1654.20597226167	0.853369507950887	1.22136688188651	LAMA4	expr
Transitional Club-AT2	0.00210375757128584	0.0346807864254216	87.8732934778784	-0.0668184029148075	0.0710259180573792	LAMA4	expr
Vascular smooth muscle	1.03694054543538	0.0376171774353097	119.178580531678	0.962455923425351	1.11142516744541	LAMA4	expr
Pericytes	0.293461866512364	0.0421383251623393	587.878334570986	0.210701880955624	0.376221852069104	LAMA5	expr
AT1	1.20584848368368	0.0297560153429424	178.661774600968	1.1471300203553	1.26456694701206	LAMA5	expr
AT2_AGTR2det	0.280800629975824	0.0364621224104978	349.100393605995	0.209087562481606	0.352513697470043	LAMA5	expr
AT2_AGTR2undet	0.416199919256478	0.0285587510102313	156.067910716946	0.359788367032205	0.472611471480752	LAMA5	expr
Adventitial fibroblasts	0.0397930428132179	0.0323308522335609	245.509820590792	-0.0238881838591596	0.103474269485595	LAMA5	expr
Alveolar fibroblasts	0.139590338169448	0.0319606933793683	230.893228700611	0.0766184570304846	0.202562219308412	LAMA5	expr
Alveolar macrophages	0.0191487423903921	0.0270981777250793	124.437184056749	-0.0344842853376222	0.0727817701184065	LAMA5	expr
Classical monocytes	0.00863677211263307	0.0266703669019477	119.871627152062	-0.0441692741979936	0.0614428184232598	LAMA5	expr
DC2	0.0316199338846583	0.0252899102357014	98.0607177407824	-0.0185666815173776	0.0818065492866941	LAMA5	expr
EC aerocyte capillary	1.13359897165514	0.0356035573433991	326.720153225978	1.06355782486745	1.20364011844282	LAMA5	expr
EC general capillary	0.832337562804516	0.0309226147083306	193.814060931456	0.77134952654566	0.893325599063372	LAMA5	expr
EC venous pulmonary	0.614488663986732	0.032264012167994	240.565356025899	0.55093261966394	0.678044708309525	LAMA5	expr
EC venous systemic	0.804929145771758	0.0334928563865047	276.60172026648	0.738995862797354	0.870862428746163	LAMA5	expr
Interstitial macrophages	0.0184930378675608	0.026306672177646	116.279296931411	-0.0336093220788554	0.070595397813977	LAMA5	expr
Lymphatic EC	0.0710276544616753	0.03031073828803	191.335112959759	0.0112415429349839	0.130813765988367	LAMA5	expr
Mast cells	0.0622939108353473	0.0293668411746548	172.769262002854	0.00432993620000932	0.120257885470685	LAMA5	expr
Myofibroblasts	0.219510120998425	0.0495187824876223	946.329113154561	0.122330800159403	0.316689441837446	LAMA5	expr
Non-classical monocytes	0.0048657532014945	0.0280486390988516	143.431146200286	-0.0505763507172094	0.0603078571201984	LAMA5	expr
Peribronchial fibroblasts	0.0919441441775363	0.0392384376472221	478.089057064205	0.0148430335423232	0.169045254812749	LAMA5	expr
Subpleural fibroblasts	0.146111853165634	0.096151287916482	2148.0902771459	-0.0424474529731912	0.334671159304459	LAMA5	expr
Transitional Club-AT2	0.510677366368012	0.0305799535379931	196.644597518344	0.450370607500912	0.570984125235112	LAMA5	expr
Vascular smooth muscle	0.640759595070614	0.0341574421514698	292.510838095569	0.573534090555501	0.707985099585727	LAMA5	expr
Pericytes	1.99416703109931	0.0490786789349029	345.343412920589	1.89763628671509	2.09069777548352	LAMB1	expr
AT1	0.0650415418300788	0.0360549252984833	110.641474444278	-0.00640625078757638	0.136489334447734	LAMB1	expr
AT2_AGTR2det	0.0433235406377067	0.043135719206699	207.406726330939	-0.0417171347015911	0.128364215977004	LAMB1	expr
AT2_AGTR2undet	0.0646606891408044	0.0348087151236719	97.779846868627	-0.00441801706847793	0.133739395350087	LAMB1	expr
Adventitial fibroblasts	0.604110951511607	0.0386540690252186	145.288912122869	0.527714025511838	0.680507877511376	LAMB1	expr
Alveolar fibroblasts	1.67795656418148	0.0383321102624292	139.493770149424	1.60216952529906	1.7537436030639	LAMB1	expr
Alveolar macrophages	0.294496351949366	0.0334780111427495	81.3878537508484	0.227890422774217	0.361102281124515	LAMB1	expr
Classical monocytes	0.0513789416207058	0.0329551987786282	78.4144884882146	-0.014224357265966	0.116982240507378	LAMB1	expr
DC2	0.0411160191828246	0.0314923587709174	65.3399451428434	-0.0217723615957279	0.104004399961377	LAMB1	expr
