ccc_group	emmean	SE	df	lower.CL	upper.CL	role	n_units
Pericytes	-1.47685543919008	0.0474494722541815	782.998016554342	-1.56999867360013	-1.38371220478003	Pericytes	49
AT1	0.0479845364111335	0.0386261286618441	462.36874137848	-0.0279199743288039	0.123889047151071	Other	73
AT2_AGTR2det	0.0907847222202371	0.0504666663734718	587.908399098683	-0.00833217726395341	0.189901621704428	Other	45
AT2_AGTR2undet	0.0853751219247305	0.0313156714487441	170.675966778675	0.0235592183791511	0.14719102547031	Other	118
Adventitial fibroblasts	-0.511936870919522	0.0342107483306606	283.903615861279	-0.579275769068006	-0.444597972771038	Fibroblasts	94
Alveolar fibroblasts	-0.681211861565548	0.0338941448926769	323.21461838453	-0.747892853174419	-0.614530869956676	Fibroblasts	98
Alveolar macrophages	-0.07642349358571	0.033789275636628	220.725448407649	-0.143014376464214	-0.00983261070720595	Ambient reference	103
Classical monocytes	-0.027157816783951	0.0415233385736729	565.652587487098	-0.10871657510782	0.0544009415399183	Other	63
DC2	-0.0149163019952778	0.0472890913341228	876.950959898095	-0.107729315011706	0.0778967110211505	Other	47
EC aerocyte capillary	-0.0368211820023394	0.0614935827057524	1067.85590794864	-0.157483151406381	0.0838407874017019	Ambient reference	28
EC general capillary	-0.0321370009578326	0.0495737387276257	827.705428704374	-0.129442030279564	0.0651680283638986	Ambient reference	45
EC venous pulmonary	-0.107449118104147	0.0629998990104417	1083.09268470291	-0.231064790028321	0.0161665538200257	Ambient reference	26
EC venous systemic	-0.0912527066777462	0.0536268373398156	963.27346998583	-0.196491607540828	0.0139861941853352	Ambient reference	36
Interstitial macrophages	-0.0476306107395135	0.0388102600014815	381.974406127191	-0.123939108202789	0.0286778867237617	Ambient reference	73
Lymphatic EC	-0.00324647521765709	0.0499351631037342	884.813434097212	-0.101251657723224	0.0947587072879098	Other	42
Mast cells	0.0235940659830243	0.0544870599023814	1004.30677246387	-0.083327465446873	0.130515597412922	Other	36
Myofibroblasts	-0.206676539158703	0.0564176872531369	930.72350870192	-0.317397158288142	-0.0959559200292644	Fibroblasts	33
Non-classical monocytes	-0.0320517621485701	0.0482516483932854	804.331117473997	-0.126765777976888	0.0626622536797481	Other	45
Peribronchial fibroblasts	-0.299381077050777	0.0430421541918247	675.334656393369	-0.383893611466513	-0.21486854263504	Fibroblasts	57
Subpleural fibroblasts	0.133647704185002	0.113051365676369	1194.58573741434	-0.0881536280669627	0.355449036436967	Fibroblasts	8
Transitional Club-AT2	0.103971737702669	0.0409561129575489	345.490526814298	0.0234170398891717	0.184526435516165	Other	70
Vascular smooth muscle	-0.326599360645239	0.0370492241471623	492.14613589548	-0.39939352497679	-0.253805196313688	Other	81
