contrast	estimate	SE	df	z.ratio	p.value	grouping	level	spec	model	max_grad	converged	involves_underpowered
cl0 - cl1	0.0442141384559559	0.0615807271622597	Inf	0.717986624929835	0.506534500468365	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	FALSE
cl0 - cl2	0.191057416249871	0.0627631086581031	Inf	3.0441037790311	0.00700123858617805	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	FALSE
cl0 - cl3	-0.0913285230194037	0.0735305468358781	Inf	-1.24204873959732	0.257078950924643	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	FALSE
cl0 - cl4	0.220770328165177	0.143800165685591	Inf	1.53525781498664	0.170073425296928	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	TRUE
cl0 - cl5	0.73440155563927	0.184755527650849	Inf	3.97499097849534	0.000527864430016342	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	TRUE
cl1 - cl2	0.146843277793915	0.0746069345306586	Inf	1.96822559079374	0.0817368117361304	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	FALSE
cl1 - cl3	-0.13554266147536	0.0789313547666426	Inf	-1.71722203269013	0.128907917022666	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	FALSE
cl1 - cl4	0.176556189709221	0.144823623273978	Inf	1.21911181144261	0.257078950924643	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	TRUE
cl1 - cl5	0.690187417183314	0.181100675493431	Inf	3.81107036350258	0.000691831860096951	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	TRUE
cl2 - cl3	-0.282385939269275	0.0897130517433648	Inf	-3.14765726705045	0.0061719204134516	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	FALSE
cl2 - cl4	0.0297129119153057	0.150326304357421	Inf	0.197656105778129	0.843314134596906	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	TRUE
cl2 - cl5	0.543344139389399	0.191161404625769	Inf	2.8423318004651	0.0111962138806261	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	TRUE
cl3 - cl4	0.312098851184581	0.155211310065222	Inf	2.01079967080641	0.0817368117361304	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	TRUE
cl3 - cl5	0.825730078658674	0.192119828556401	Inf	4.29799508391848	0.000258524977426668	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	TRUE
cl4 - cl5	0.513631227474093	0.228021824993643	Inf	2.25255291895156	0.0520443268130923	pericyte_state	cell	+ambient	NB GLMM	0.000770123733673245	TRUE	TRUE
cl0 - cl1	-0.259387690367506	0.0887564553499911	Inf	-2.92246563187623	0.0130226979120393	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	FALSE
cl0 - cl2	-0.113766389668052	0.0921178241800922	Inf	-1.235009518306	0.25237335887354	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	FALSE
cl0 - cl3	-0.299806643164483	0.0716781574934769	Inf	-4.18267787075535	0.000432143188272752	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	FALSE
cl0 - cl4	0.114138215182833	0.168546386476219	Inf	0.67719170709683	0.533876066477525	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	TRUE
cl0 - cl5	0.409432147181875	0.189749537004112	Inf	2.1577504411671	0.0580260748131278	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	TRUE
cl1 - cl2	0.145621300699454	0.0730632824974815	Inf	1.99308456617006	0.0748069822468816	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	FALSE
cl1 - cl3	-0.0404189527969767	0.0829815184287554	Inf	-0.487083793624225	0.626198950757645	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	FALSE
cl1 - cl4	0.373525905550339	0.158575469786689	Inf	2.35550874326777	0.0396372037113789	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	TRUE
