compartment	gene	contrast	estimate	SE	df	t.ratio	p.value	n_donors	covariates	family	is_copd_contrast	p_BH
ATI	NID1	Control - IPF	-0.0023009245888076	0.0435379602354014	32	-0.0528486997637681	0.958181008122417	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	NID2	Control - COPD	-0.0445083240779345	0.0287306991997426	32	-1.54915561812479	0.131178824112168	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
ATI	NID2	Control - IPF	-0.0261677425945898	0.0313105301124204	32	-0.835748947738493	0.409493334345142	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	HSPG2	Control - COPD	-0.00648130080688226	0.189126196407434	32	-0.0342697147724559	0.972874951589982	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.98856648306724
ATI	HSPG2	Control - IPF	0.183956084963046	0.206108505278409	32	0.892520591105937	0.378776873600912	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	AGRN	Control - COPD	-0.146059090187483	0.178202250605	32	-0.819625395816328	0.418492810479565	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.811232217237311
ATI	AGRN	Control - IPF	-0.308515906753101	0.19420365981622	32	-1.58862045671569	0.121979032357012	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	COL4A1	Control - COPD	-0.0707248143247935	0.0607274594069534	39	-1.16462659586736	0.25124488437641	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.679456481184199
ATII	COL4A1	Control - IPF	-0.0547460175470161	0.0586995011460887	39	-0.932648770059674	0.356739643064411	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	COL4A2	Control - COPD	-0.0886614026337994	0.0658096422230946	39	-1.34724030763208	0.185678775292188	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
ATII	COL4A2	Control - IPF	-0.0577725785205238	0.0636119674167682	39	-0.908202982341573	0.369349169665527	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	COL15A1	Control - COPD	-0.0325784212758984	0.023157260084769	39	-1.40683401907836	0.167395973309856	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
ATII	COL15A1	Control - IPF	-0.0596051597789436	0.0223839368246406	39	-2.6628541818135	0.0112007310294203	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	COL18A1	Control - COPD	-0.0894656621589389	0.0385842962254426	39	-2.31870659597375	0.025742372150081	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.491149322597627
ATII	COL18A1	Control - IPF	-0.0327214403509864	0.0372957960472007	39	-0.877349294531075	0.385669744511111	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMA1	Control - COPD	-0.0289146901965847	0.0610121327949423	39	-0.473917053412393	0.638201571511128	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.924291931154048
ATII	LAMA1	Control - IPF	-0.0736635323894248	0.0589746680315093	39	-1.24907074254437	0.219084536926424	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMA2	Control - COPD	-0.00469294347366097	0.0565158285906417	39	-0.0830376832595544	0.934246325569003	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.98856648306724
ATII	LAMA2	Control - IPF	-0.0373597868911832	0.0546285152964701	39	-0.683888015049116	0.498089499094869	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMA3	Control - COPD	0.30847038151222	0.153999804706596	39	2.00305696555865	0.0521561409304319	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.547639479769535
ATII	LAMA3	Control - IPF	0.306257515685913	0.148857070609432	39	2.05739313847889	0.0463785526889176	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMA5	Control - COPD	0.152727640591661	0.0823479717457496	39	1.85466183749139	0.0712165400412605	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.554812931332284
ATII	LAMA5	Control - IPF	0.124327938635624	0.0795980090238096	39	1.56194784468083	0.12637932511587	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMB2	Control - COPD	-0.00525158600103385	0.0699583128916332	39	-0.0750673620327102	0.940544858133728	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.98856648306724
ATII	LAMB2	Control - IPF	-0.0657554667497486	0.0676220956362066	39	-0.972396169197416	0.336846230970177	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMB3	Control - COPD	0.324354850304033	0.206206668809216	39	1.57296004138513	0.123806639513741	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
ATII	LAMB3	Control - IPF	0.185166450980819	0.199320516786048	39	0.928988415074087	0.358609577104403	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMB4	Control - COPD	0.0064463446030867	0.0105778008476493	39	0.609422005191111	0.545778984833236	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.894694832238846
ATII	LAMB4	Control - IPF	0.0127449810805249	0.0102245613276652	39	1.24650639495311	0.220013747514754	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMC1	Control - COPD	-0.199019228880442	0.191727590419788	39	-1.038031242372	0.305648748775707	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.770234846914782
ATII	LAMC1	Control - IPF	-0.0913007902192449	0.185324958815822	39	-0.492652424166896	0.625020499203179	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMC2	Control - COPD	0.239380908128753	0.165562102900448	39	1.44586776765388	0.156203143760047	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
ATII	LAMC2	Control - IPF	0.287531119917021	0.160033252565823	39	1.79669609476166	0.0801321336801127	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	LAMC3	Control - COPD	-0.00405303261057673	0.0231590336819423	39	-0.175008710045488	0.8619782263892	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.96972550468785
ATII	LAMC3	Control - IPF	0.0042298874943084	0.0223856511935657	39	0.188955302561142	0.851107753583093	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	NID1	Control - COPD	-0.0240827827282503	0.0380924600356746	39	-0.632219150606082	0.530932823036615	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.894694832238846
ATII	NID1	Control - IPF	-0.0284794166605818	0.0368203844415298	39	-0.773468748155159	0.443908223225586	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	NID2	Control - COPD	0.00184791204612473	0.0274632640254466	39	0.067286686841466	0.946697255204612	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.98856648306724
ATII	NID2	Control - IPF	0.0287862317390372	0.0265461442629108	39	1.08438466445224	0.284852510644877	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	HSPG2	Control - COPD	0.0503316219390743	0.143210233086144	39	0.351452691993028	0.727140501414889	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.958296913198946
ATII	HSPG2	Control - IPF	-0.0166490860376427	0.13842781047101	39	-0.120272696512305	0.904884617373117	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATII	AGRN	Control - COPD	-0.0248706074556592	0.068186714078205	39	-0.364742718458827	0.717273920938976	46	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.958296913198946
ATII	AGRN	Control - IPF	-0.0703976404586789	0.0659096583369223	39	-1.06809293561825	0.292045551539997	46	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	COL4A1	Control - COPD	-0.0577471035091128	0.178832926228752	66	-0.322910913146086	0.747783521117538	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.96972550468785
Endothelial	COL4A1	Control - IPF	-0.102207220201764	0.170636487589308	66	-0.598976348175651	0.551239121061402	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	COL4A2	Control - COPD	-0.224976533903416	0.175621843994456	66	-1.28102819550464	0.204666792710802	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
