scale	score	component	variance	pct
raw	tgfb_response_score	donor_id	0.002665967769981	10.0228697065176
raw	tgfb_response_score	dataset	0.00387589384933049	14.5716611751871
raw	tgfb_response_score	study	0.0122572041550801	46.0817124632491
raw	tgfb_response_score	Residual	0.00779978114314742	29.3237566550463
raw	tgfb_smad_score	donor_id	0.00117575064008087	15.0045639733471
raw	tgfb_smad_score	dataset	0.00145383778454625	18.5534256171812
raw	tgfb_smad_score	study	0	0
raw	tgfb_smad_score	Residual	0.00520636497041569	66.4420104094717
raw	tgfb_ieg_score	donor_id	0.00733283850398677	6.93323195870483
raw	tgfb_ieg_score	dataset	0.00383834743612514	3.62917485476966
raw	tgfb_ieg_score	study	0.0626256966356971	59.2128793119745
raw	tgfb_ieg_score	Residual	0.0319667576379045	30.224713874551
z	tgfb_response_score	donor_id	0.0488068082772746	5.50897097655159
z	tgfb_response_score	dataset	2.16945959695394e-32	2.44873417792932e-30
z	tgfb_response_score	study	1.94824643960475e-32	2.19904424603605e-30
z	tgfb_response_score	Residual	0.837144642275216	94.4910290234484
z	tgfb_smad_score	donor_id	0	0
z	tgfb_smad_score	dataset	1.22947099646841e-32	1.38559429760725e-30
z	tgfb_smad_score	study	1.04179558736308e-32	1.1740870905203e-30
z	tgfb_smad_score	Residual	0.887323943661973	100
z	tgfb_ieg_score	donor_id	0.0451829500688708	5.09769135684754
z	tgfb_ieg_score	dataset	7.65539892323278e-33	8.63707678774835e-31
z	tgfb_ieg_score	study	7.51515940715022e-33	8.47885388111369e-31
z	tgfb_ieg_score	Residual	0.841158472076631	94.9023086431525
