contrast	estimate	SE	df	t.ratio	p.value
Pericytes - AT1	-0.608982718663273	0.0401464279331907	2146.21358609752	15.1690386919779	4.96567660890644e-49
Pericytes - AT2_AGTR2det	0.20054474303622	0.0465544523280468	2248.98580431679	-4.30774572586694	2.25774412205027e-05
Pericytes - AT2_AGTR2undet	0.142307693227708	0.0409979537800989	2226.71559865175	-3.47109258162018	0.000652507388775101
Pericytes - Adventitial fibroblasts	1.86818908007512	0.0425355827696927	2194.65199662247	-43.9206179492206	6.90608321206542e-302
Pericytes - Alveolar fibroblasts	1.52317710363804	0.0412925375968055	2135.63747018842	-36.8874666534391	4.83007834253213e-230
Pericytes - Alveolar macrophages	0.622058880374268	0.0409993232366895	2256.48711105938	-15.1724182563482	4.15028052720421e-49
Pericytes - Classical monocytes	0.532216040346521	0.0386964673031156	2150.51252732046	-13.7536079502449	5.40661270956904e-41
Pericytes - DC2	0.492576769403624	0.0393343988617585	2212.16171174809	-12.522798966238	1.44238510951272e-34
Pericytes - EC aerocyte capillary	0.0916469642888675	0.0429085683707971	2126.16785443016	-2.13586627959466	0.0362573253540852
Pericytes - EC general capillary	0.0461783253922365	0.0401450105120226	2130.00460278964	-1.15028803837047	0.262662099783525
Pericytes - EC venous pulmonary	0.228654055027231	0.0417673798355594	2147.71437901204	-5.47446490365102	7.35107042510353e-08
Pericytes - EC venous systemic	-0.00304034049192637	0.0430925580125019	2166.58112320179	0.0705537251013115	0.94375945201638
Pericytes - Interstitial macrophages	0.565804525425513	0.039708655758574	2208.40296354481	-14.2488964840705	9.03278796533858e-44
Pericytes - Lymphatic EC	0.0928224858206101	0.0406813698435304	2150.9000272944	-2.28169518818137	0.0263720841151602
Pericytes - Mast cells	0.447957276979549	0.0400357187740545	2146.53950428078	-11.1889405435091	4.44966791287332e-28
Pericytes - Myofibroblasts	1.74696392498409	0.0530561312708657	2128.51322722159	-32.9267114495283	8.19680877374149e-192
Pericytes - (Non-classical monocytes)	0.511656504260379	0.0400532009110831	2182.73812232584	-12.7744223338414	8.24392716324733e-36
Pericytes - Peribronchial fibroblasts	2.13234493903653	0.0467847829004724	2165.23669162338	-45.5777457292637	2.83833006111721e-317
Pericytes - Subpleural fibroblasts	1.79591208071032	0.0915965781988423	2187.24158628944	-19.6067595102916	2.32082389636009e-78
Pericytes - (Transitional Club-AT2)	0.231947718005194	0.0426951618291748	2242.92124693027	-5.43264641865574	8.61413012325214e-08
Pericytes - Vascular smooth muscle	0.806301760828595	0.0426931893826799	2132.9136394156	-18.8859575142377	3.83871596393566e-73
