gene	predictor	estimate	SE	z_value	p_value	singular	max_grad	converged	n_warnings
ADGRG6	basement_membrane_score_z	0.126876878062729	0.0155617984369397	8.15309866509745	3.54715980815943e-16	FALSE	0.00218999048229307	TRUE	0
ADGRG6	bm_minus_fibrillar_z	0.111854678185351	0.0155563106421361	7.19030885654723	6.4644919463068e-13	FALSE	0.00161155185196549	TRUE	0
ATP5MG	basement_membrane_score_z	-0.0623799002268349	0.0133939267621257	-4.65732725993603	3.20341009873611e-06	FALSE	0.000328145688399673	TRUE	0
ATP5MG	bm_minus_fibrillar_z	-0.0104836815819935	0.0132253070756452	-0.792698537888738	0.427953482376543	FALSE	0.000502495822729543	TRUE	0
CSNK1A1	basement_membrane_score_z	-0.0152538588456702	0.0144345269115237	-1.05676195272408	0.290620242597539	FALSE	0.00328083842759952	TRUE	0
CSNK1A1	bm_minus_fibrillar_z	0.00592172597144428	0.014255312233287	0.415404859222704	0.677845550061429	FALSE	0.000988020474324003	TRUE	0
GABARAPL2	basement_membrane_score_z	-0.0287656414703033	0.0145646518072131	-1.97503118173118	0.0482646095277399	FALSE	0.00140827978611924	TRUE	1
GABARAPL2	bm_minus_fibrillar_z	0.0157551369025689	0.0141709668622328	1.1117898345072	0.266228523630221	FALSE	0.00148767867358401	TRUE	1
KMT2E	basement_membrane_score_z	-0.0434676512189695	0.0137865762722132	-3.15289672799898	0.00161658986799078	FALSE	0.00229796569328755	TRUE	0
KMT2E	bm_minus_fibrillar_z	-0.00273797680015218	0.013719759021033	-0.199564496428453	0.841821196924459	FALSE	0.0013497810869012	TRUE	0
NFIA	basement_membrane_score_z	-0.00424912353155313	0.0149097046329376	-0.284990456629586	0.77565145339409	FALSE	0.00177555193658918	TRUE	0
NFIA	bm_minus_fibrillar_z	0.0103508952756915	0.0148357497266919	0.6976995073642	0.4853651363187	FALSE	0.000670006556902081	TRUE	0
PRRC2C	basement_membrane_score_z	0.00107062135987795	0.0147414803393651	0.0726264483098759	0.942103379584372	FALSE	0.00287425791611895	TRUE	0
PRRC2C	bm_minus_fibrillar_z	0.0114038066888765	0.0145204479692535	0.78536190570867	0.432241409214973	FALSE	0.0031708441383671	TRUE	0
SPCS2	basement_membrane_score_z	-0.00777222216860021	0.0143838696757025	-0.540342921886256	0.588960563052211	FALSE	0.00066620486904867	TRUE	2
SPCS2	bm_minus_fibrillar_z	0.0474943118769238	0.0141400496322447	3.35885043632512	0.000782674150144897	FALSE	0.00277057552011684	TRUE	1
UBL5	basement_membrane_score_z	-0.0201164495747215	0.0133853893748852	-1.50286622311233	0.132873544640099	FALSE	0.00150150299305096	TRUE	1
UBL5	bm_minus_fibrillar_z	0.0346845883156118	0.0128589033693427	2.69732086161441	0.00698998823756583	FALSE	0.00170090061146766	TRUE	1
