gene	predictor	estimate	SE	z_value	p_value	singular	max_grad	converged	n_warnings
ACTN1	basement_membrane_score_z	0.103508498626387	0.0157348806230125	6.57828305827784	4.75911594983348e-11	FALSE	0.00157016984303482	TRUE	0
ACTN1	bm_minus_fibrillar_z	0.00125481193035757	0.0153857682576305	0.0815566638822377	0.934999263650538	FALSE	0.00198670022655278	TRUE	0
ASAH1	basement_membrane_score_z	0.025332022082618	0.0150918332475177	1.67852517763437	0.0932446195360995	FALSE	0.00305650246446021	TRUE	0
ASAH1	bm_minus_fibrillar_z	0.0284884467248513	0.0147893050049898	1.92628705103042	0.0540685413839287	FALSE	0.00130805346998386	TRUE	0
COL6A3	basement_membrane_score_z	0.244530274162883	0.00116784249718182	209.386346834417	0	FALSE	72.7777147949382	FALSE	2
COL6A3	bm_minus_fibrillar_z	-0.141028033823714	0.0145402945469751	-9.69911808650761	3.04115858486747e-22	FALSE	0.00364960214938037	TRUE	0
FAM13C	basement_membrane_score_z	0.0169419241389511	0.0157526949574275	1.07549369709358	0.282153752591852	FALSE	0.00243364411289804	TRUE	0
FAM13C	bm_minus_fibrillar_z	-0.0295494307514816	0.015269836111222	-1.93515048467124	0.0529718318880667	FALSE	0.00130059561342932	TRUE	0
JMJD1C	basement_membrane_score_z	0.00343025513399617	0.0134653632254557	0.254746572859722	0.798918842669914	FALSE	0.00298174199997447	TRUE	0
JMJD1C	bm_minus_fibrillar_z	0.00859030303820673	0.0133679400716995	0.642604843538516	0.520480539431933	FALSE	0.00188218109542504	TRUE	0
NCK2	basement_membrane_score_z	0.103800003490535	0.0149351983177759	6.95002512065689	3.65221172694361e-12	FALSE	0.00119571268442087	TRUE	0
NCK2	bm_minus_fibrillar_z	0.0327276907783126	0.0148115918502079	2.2095998262235	0.027132947388214	FALSE	0.00221925802179612	TRUE	0
PLCE1	basement_membrane_score_z	0.0660866118043276	0.0143967119413663	4.59039620112422	4.42405425601825e-06	FALSE	0.00300049578072503	TRUE	0
PLCE1	bm_minus_fibrillar_z	0.0336899975732306	0.00147611240476478	22.8234634872533	2.68197072415814e-115	FALSE	45.2985774791159	FALSE	1
SEPTIN2	basement_membrane_score_z	0.021037566505876	0.0138112179150188	1.52322312451525	0.127702892571703	FALSE	0.00136300513986498	TRUE	0
SEPTIN2	bm_minus_fibrillar_z	0.0278248339589804	0.0135043526375665	2.06043449143776	0.0393570223913862	FALSE	0.00157249814947136	TRUE	0
TMA7	basement_membrane_score_z	-0.0319139618445503	0.0130347817228027	-2.44836948736324	0.0143504409386605	FALSE	0.00123312929645181	TRUE	1
TMA7	bm_minus_fibrillar_z	0.00549920934039921	0.0125487088083831	0.438229097859493	0.661220217360284	FALSE	0.000861200533108786	TRUE	1
ADAMTS1	basement_membrane_score_z	0.0315739517557941	0.0172640015499761	1.82888953435236	0.0674161583715902	FALSE	0.000991312845144421	TRUE	0
ADAMTS1	bm_minus_fibrillar_z	-0.00542107837705461	0.0171131949000909	-0.316777691641075	0.751412292605833	FALSE	0.00112935595097952	TRUE	2
ASAP1	basement_membrane_score_z	0.0446416301139414	0.0127074585270385	3.51302583588641	0.000443034395107429	FALSE	0.00110536348074675	TRUE	0
ASAP1	bm_minus_fibrillar_z	0.0106203187807451	0.0125178668954919	0.848412822201353	0.396208104260394	FALSE	0.00135079972096719	TRUE	0
COX6B1	basement_membrane_score_z	-0.0381968558945091	0.0135087752759245	-2.82755876193928	0.00469044062665908	FALSE	0.000750696926843375	TRUE	0
COX6B1	bm_minus_fibrillar_z	-0.00576774804129372	0.0129912566980576	-0.443971524491246	0.657063171561025	FALSE	0.0020016341295559	TRUE	1
FARP1	basement_membrane_score_z	0.0974535958238168	0.0141593397646919	6.88263700450424	5.87546110330979e-12	FALSE	0.00121039192890748	TRUE	0
FARP1	bm_minus_fibrillar_z	0.0342548278152145	0.0139195694274647	2.46091145230587	0.0138584564635921	FALSE	0.00117666786536574	TRUE	0
JUND	basement_membrane_score_z	-0.0481043961341593	0.015497492896231	-3.10401149761833	0.00190915911598144	FALSE	0.00252366589847952	TRUE	0
JUND	bm_minus_fibrillar_z	-0.0140899368468906	0.0155128041388027	-0.908277879409757	0.363731426557194	FALSE	0.00243309841607697	TRUE	0
NCOR1	basement_membrane_score_z	-0.0149916035732644	0.0148206062542669	-1.01153780864722	0.311759094706128	FALSE	0.00289859599433839	TRUE	0
NCOR1	bm_minus_fibrillar_z	0.018450534681915	0.0147004949122172	1.25509615778862	0.209443855098635	FALSE	0.00122590790851973	TRUE	0
