ccc_group	emmean_bm20	SE_bm20	emmean_bm13	SE_bm13	delta	rank_bm20	rank_bm13	rank_shift
AT1	1.08484192489999	0.035436871570989	1.07008029592252	0.0360417091652806	0.0147616289774706	1	1	0
EC venous systemic	0.478899546728646	0.0379433896698128	0.634399239904068	0.0387610455693559	-0.155499693175422	2	3	1
Pericytes	0.47585920623672	0.0444151772991442	0.544540597694604	0.0456881371742649	-0.0686813914578838	3	5	2
EC general capillary	0.429680880844483	0.0365166300463915	0.616453016444791	0.0371662861478189	-0.186772135600307	4	4	0
EC aerocyte capillary	0.384212241947852	0.0397853093694037	0.540406948038618	0.0406898175365231	-0.156194706090766	5	6	1
Lymphatic EC	0.38303672041611	0.0357645206028537	0.658639327614114	0.036405350348961	-0.275602607198004	6	2	-4
AT2_AGTR2undet	0.333551513009012	0.0345801474546866	0.201278280240251	0.0351185628847925	0.13227323276876	7	8	1
AT2_AGTR2det	0.2753144632005	0.040299963973018	0.126810136222391	0.0412639731753133	0.14850432697811	8	10	2
EC venous pulmonary	0.247205151209489	0.0371238437624989	0.477657624283981	0.0378706840806833	-0.230452473074492	9	7	-2
Transitional Club-AT2	0.243911488231526	0.0360386614742237	0.140403312874838	0.036684418674775	0.103508175356689	10	9	-1
Mast cells	0.0279019292571714	0.0353164297173311	-0.0595678138523526	0.0358807629831076	0.087469743109524	11	11	0
DC2	-0.0167175631669043	0.032500531555908	-0.155407010942072	0.0328601961141335	0.138689447775167	12	13	1
Non-classical monocytes	-0.0357972980236587	0.0342533483249889	-0.168564242022987	0.0347691927930947	0.132766943999329	13	14	1
Classical monocytes	-0.0563568341098006	0.0334351446412462	-0.181671630270265	0.0338640244707863	0.125314796160464	14	15	1
Interstitial macrophages	-0.0899453191887929	0.0331251197483389	-0.227879165921176	0.0335389143950167	0.137933846732383	15	16	1
Alveolar macrophages	-0.146199674137548	0.0338190244931989	-0.30299334507313	0.0342647138264507	0.156793670935582	16	17	1
Vascular smooth muscle	-0.330442554591875	0.0385155370962258	-0.0882216526114372	0.0393609269476356	-0.242220901980438	17	12	-5
Alveolar fibroblasts	-1.04731789740132	0.0369520798337272	-0.923937486666883	0.0376785712703879	-0.123380410734442	18	18	0
Myofibroblasts	-1.27110471874737	0.0499114313660552	-1.23146547472055	0.0515908356482223	-0.0396392440268174	19	20	1
Subpleural fibroblasts	-1.3200528744736	0.0888863176243742	-1.19559524556331	0.0928461081902989	-0.124457628910291	20	19	-1
Adventitial fibroblasts	-1.3923298738384	0.0371427941199687	-1.36904660501647	0.0378934937825777	-0.0232832688219333	21	21	0
Peribronchial fibroblasts	-1.65648573279981	0.0420636322982485	-1.61355446614028	0.0431956390541658	-0.0429312666595278	22	22	0
