contrast	estimate	SE	df	t.ratio	p.value
Pericytes - AT1	-1.52483997560121	0.0582450621086231	1169.98390974353	26.1797295839	2.88819424790835e-118
Pericytes - AT2_AGTR2det	-1.56764016141032	0.0697218668985286	1139.23279074598	22.4841965819965	1.80319087747987e-92
Pericytes - AT2_AGTR2undet	-1.56223056111481	0.0558062224553415	1173.52914143703	27.9938417685406	3.50672954532672e-131
Pericytes - Adventitial fibroblasts	-0.964918568270557	0.0567870698006033	1190.57757220944	16.9918710660487	4.22317699369702e-58
Pericytes - Alveolar fibroblasts	-0.795643577624531	0.0551016331825507	1164.18221114693	14.439564340835	1.40912775021664e-43
Pericytes - Alveolar macrophages	-1.40043194560437	0.0582281235718861	1115.26254786095	24.0507826750668	1.11209504304387e-102
Pericytes - Classical monocytes	-1.44969762240613	0.0602558617100901	1165.81138671326	24.0590306281085	1.87335973282344e-103
Pericytes - DC2	-1.4619391371948	0.0661697112091486	1193.49030181989	22.0937814368559	1.23543449606514e-90
Pericytes - EC aerocyte capillary	-1.44003425718774	0.074325711570426	1154.30604927939	19.3746447462297	1.76281138214872e-72
Pericytes - EC general capillary	-1.44471843823225	0.0645682515883739	1142.62955963317	22.3750589909481	7.82291125903695e-92
Pericytes - EC venous pulmonary	-1.36940632108593	0.0765763716237323	1164.00226785755	17.8828833496406	2.58405736716201e-63
Pericytes - EC venous systemic	-1.38560273251233	0.0701477603788666	1150.94012784852	19.7526296638513	7.70101737919186e-75
Pericytes - Interstitial macrophages	-1.42922482845057	0.0599864865541904	1193.28636908811	23.8257799472792	2.07922646520587e-102
Pericytes - Lymphatic EC	-1.47360896397242	0.0663982034278687	1172.39855290346	22.1935065693949	5.07570481004089e-91
Pericytes - Mast cells	-1.5004495051731	0.0692072998499987	1164.63300302403	21.6805092587806	1.37878866430064e-87
Pericytes - Myofibroblasts	-1.27017890003138	0.0708083328567575	1151.08279859828	17.9382686865527	1.50234901995374e-63
Pericytes - (Non-classical monocytes)	-1.44480367704151	0.0663124362411272	1192.29360515759	21.7878238071042	1.39731631045168e-88
Pericytes - Peribronchial fibroblasts	-1.1774743621393	0.0621698257114018	1159.84880710526	18.939643929601	8.53455842003288e-70
Pericytes - Subpleural fibroblasts	-1.61050314337508	0.122182902059043	1212.05571408915	13.1810843926168	3.56189520153364e-37
Pericytes - (Transitional Club-AT2)	-1.58082717689275	0.0624026303878836	1152.00939497132	25.3327009945992	4.66583160104175e-112
Pericytes - Vascular smooth muscle	-1.15025607854484	0.0569931397300151	1160.91667356108	20.1823602628978	1.13286984946385e-77
