contrast	estimate	SE	df	t.ratio	p.value	scale_note	lens	level	n_fitted_units	n_fitted_donors	singular
cl0 - cl1	0.0918862412055513	0.0953835287533984	184.045232435335	0.963334470913853	0.631206960219052	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl0 - cl2	0.156567186364023	0.0925434193783123	176.970268178657	1.69182409095978	0.631206960219052	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl0 - cl3	-0.0353850831195635	0.0883927140620293	142.372962871547	-0.40031673984727	0.79560377250713	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl0 - cl4	0.090406438884988	0.116711366998232	150.764515684759	0.774615542686237	0.730857706639716	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl0 - cl5	0.191918572052345	0.17486565436206	130.972458683712	1.09752010909459	0.631206960219052	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl1 - cl2	0.0646809451584715	0.0662357218503251	143.385538597648	0.97652661360939	0.631206960219052	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl1 - cl3	-0.127271324325115	0.0964599964941067	156.322176609743	-1.31942078530856	0.631206960219052	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl1 - cl4	-0.0014798023205633	0.103514651791682	136.049726292339	-0.0142955832333893	0.98861510570648	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl1 - cl5	0.100032330846794	0.176988055857057	132.071434064356	0.56519255134134	0.730857706639716	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl2 - cl3	-0.191952269483586	0.0970499083336955	146.54250474674	-1.97787172372775	0.631206960219052	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl2 - cl4	-0.0661607474790347	0.104121587246597	128.501265020463	-0.635418160907808	0.730857706639716	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl2 - cl5	0.0353513856883225	0.176679386991642	129.434915050239	0.200087776453486	0.901849243593193	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl3 - cl4	0.125791522004552	0.117071381873187	129.734493818855	1.07448566841732	0.631206960219052	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl3 - cl5	0.227303655171909	0.178006925458332	124.762764581149	1.27693714492651	0.631206960219052	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl4 - cl5	0.101512133167357	0.185247692828207	124.531818859993	0.547980553050647	0.730857706639716	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE
cl0 - cl1	0.0452288340396866	0.0390067155432784	180.244981223337	1.1595140326415	0.43900441488797	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl0 - cl2	0.0778011817191764	0.0377541757651404	173.72909744405	2.06073050576336	0.306143852480663	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl0 - cl3	-0.00958561599764019	0.0357685099325952	139.257826105237	-0.267990364029814	0.845467799332029	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl0 - cl4	0.0531228707045008	0.0473189810604502	147.959975441415	1.12265457780327	0.43900441488797	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
