comparison	matrix_score	predictor	pearson_r	pearson_ci_lo	pearson_ci_hi	pearson_p	spearman_rho	spearman_p	n_units
basement_membrane vs AGTR1_scvi	basement_membrane_score	AGTR1_scvi	-0.257482156101498	-0.378527184046105	-0.127778104965637	0.000139529280794385	-0.243793296619535	0.000330843956899904	214
fibrillar_collagen vs AGTR1_scvi	fibrillar_collagen_score	AGTR1_scvi	-0.435312880458695	-0.538018489815187	-0.319871253458156	2.62508859383868e-11	-0.483375016453863	0	214
basement_membrane vs AGTR1_expr	basement_membrane_score	AGTR1_expr	-0.0402340993790078	-0.173414906430923	0.0943918085531662	0.558302978573255	-0.0501920630395638	0.465141613946833	214
fibrillar_collagen vs AGTR1_expr	fibrillar_collagen_score	AGTR1_expr	-0.260711374195795	-0.381488906445511	-0.131181670796978	0.000114093256251677	-0.272025949232108	5.52114878463794e-05	214
basement_membrane vs AGTR1_detect	basement_membrane_score	AGTR1_detect	0.0372839530492036	-0.097319245835361	0.170547711158981	0.587535118705996	0.024432801011541	0.722304363869788	214
fibrillar_collagen vs AGTR1_detect	fibrillar_collagen_score	AGTR1_detect	-0.204737057078967	-0.32979782457313	-0.0726143844945945	0.00261723514258788	-0.193244530521131	0.00455169309070132	214
