gene	predictor	estimate	SE	z_value	p_value	singular	max_grad	converged	n_warnings
ARPC3	basement_membrane_score_z	-0.0183298225639684	0.0147017860605433	-1.24677522094829	0.212479928623413	FALSE	0.00145513695315458	TRUE	0
ARPC3	bm_minus_fibrillar_z	0.00618400359037117	0.0142917304517151	0.432698028504242	0.665234162276046	FALSE	0.00208145138458349	TRUE	0
CLMN	basement_membrane_score_z	0.0314139982803151	0.015383717493068	2.04202906706201	0.0411486481249506	FALSE	0.00174084561876953	TRUE	0
CLMN	bm_minus_fibrillar_z	0.0244774499523778	0.0153879356411488	1.59069094927345	0.111679144792587	FALSE	0.00248150172410533	TRUE	0
ERH	basement_membrane_score_z	-0.0492302749150899	0.0146912690903554	-3.35098857779474	0.000805236236915893	FALSE	0.00248383003054187	TRUE	1
ERH	bm_minus_fibrillar_z	0.0148630382380272	0.014329646084229	1.03722298168866	0.299631949959246	FALSE	0.00213442035601474	TRUE	1
INPP4B	basement_membrane_score_z	0.00841178862225521	0.0145882237364369	0.576614999483807	0.564199564287586	FALSE	0.00113752321340144	TRUE	0
INPP4B	bm_minus_fibrillar_z	-0.0240972195265932	0.0145690840554514	-1.65399687687138	0.0981281472734762	FALSE	0.000872296368470416	TRUE	0
NBEAL1	basement_membrane_score_z	0.0106637433497508	0.0133780938642577	0.797104838548122	0.42539014649934	FALSE	0.00214831743505783	TRUE	0
NBEAL1	bm_minus_fibrillar_z	-0.0125388231190821	0.013105576904955	-0.956754762496673	0.338691050211471	FALSE	0.00121730408864096	TRUE	0
PLCB1	basement_membrane_score_z	0.0689825886886872	0.0132019005781876	5.22520134734701	1.73965699923496e-07	FALSE	0.00253516191150993	TRUE	0
PLCB1	bm_minus_fibrillar_z	0.0680613892911064	0.0132230786800776	5.14716662721293	2.64450406949015e-07	FALSE	0.000256222847383469	TRUE	0
SELENOM	basement_membrane_score_z	-0.0428719382231487	0.0129662823195856	-3.3064171492233	0.000944972912254166	FALSE	0.00240532244788483	TRUE	0
SELENOM	bm_minus_fibrillar_z	0.0111459727556375	0.0128091130351319	0.870159606294919	0.384213187200832	FALSE	0.00045080014388077	TRUE	0
TLN1	basement_membrane_score_z	0.00758677900915581	0.0140088660798255	0.541569814853301	0.588114890765815	FALSE	0.00355965312337503	TRUE	0
TLN1	bm_minus_fibrillar_z	0.00171383482964194	0.0136778733266472	0.125299802733445	0.900286208349501	FALSE	0.000804411683930084	TRUE	0
