term	estimate	SE	df	t_ratio	p_value	outcome	converged	max_grad	model	arm_set	n_units	depth_cut
tgfb_response_score_z	-0.228037329204564	0.0934990090879105	103.045997119633	-2.43892776435905	0.0164403391086066	basement_membrane_score_z	TRUE		full_panel	deep_half	107	3.23383264
tgfb_response_score_z	-0.222300425230876	0.0960650354878135	103.866232465573	-2.31406176141034	0.0226331457169861	bm_minus_fibrillar_z	TRUE		full_panel	deep_half	107	3.23383264
tgfb_smad_score_z	-0.0846197157818513	0.0812909055835454	103.999999999757	-1.04094935558179	0.300312939839887	basement_membrane_score_z	TRUE		smad_alone	deep_half	107	3.23383264
tgfb_smad_score_z	-0.248760746252321	0.0801320557078329	103.999847278374	-3.10438493128543	0.00245663870492714	bm_minus_fibrillar_z	TRUE		smad_alone	deep_half	107	3.23383264
tgfb_ieg_score_z	-0.179813785322715	0.0958479860566738	103.999999999434	-1.87603091854631	0.0634550930479332	basement_membrane_score_z	TRUE		ieg_alone	deep_half	107	3.23383264
tgfb_ieg_score_z	-0.0501940815739091	0.0998756641298096	103.949352366473	-0.50256568515701	0.616332713818219	bm_minus_fibrillar_z	TRUE		ieg_alone	deep_half	107	3.23383264
tgfb_smad_score_z	-0.0558245145523514	0.0823552442015304	102.999999996554	-0.677850148992868	0.499386608878544	basement_membrane_score_z	TRUE		head_to_head	deep_half	107	3.23383264
tgfb_ieg_score_z	-0.166042992514961	0.0982219316415802	102.999999996943	-1.69048795660897	0.0939588612365705	basement_membrane_score_z	TRUE		head_to_head	deep_half	107	3.23383264
tgfb_smad_score_z	-0.25070724730523	0.0822478570935056	102.98297782623	-3.04819184553595	0.00292581187832413	bm_minus_fibrillar_z	TRUE		head_to_head	deep_half	107	3.23383264
tgfb_ieg_score_z	0.0113699370065213	0.0981780708363507	102.986870701812	0.115809334097361	0.908029168441892	bm_minus_fibrillar_z	TRUE		head_to_head	deep_half	107	3.23383264
