cl	emmean	SE	df	lower.CL	upper.CL	lens	n_units
0	0.965717890731261	0.10060790398411	24.4830103196902	0.758289949692048	1.17314583177047	denoised OLD (invalid)	214
1	1.02029996061505	0.0980560656646249	22.1503627021189	0.817024133747467	1.22357578748263	denoised OLD (invalid)	214
2	0.955284627227915	0.0995295416256252	23.5756231070032	0.749669895403132	1.1608993590527	denoised OLD (invalid)	214
3	1.12829210144734	0.106729150042637	30.7458777684034	0.910543620564555	1.34604058233012	denoised OLD (invalid)	214
4	1.02833356794319	0.114190519710838	39.4708710249392	0.797449505865562	1.25921763002082	denoised OLD (invalid)	214
5	0.797801207989411	0.15316795848274	96.3611205544204	0.493779753719943	1.10182266225888	denoised OLD (invalid)	214
0	11.7960423958192	1.51986412118352	22.0250185607001	8.64424470485599	14.9478400867824	denoised NEW (passed gate)	214
1	10.7052975686985	1.48087353549761	19.846843903235	7.61472060994351	13.7958745274535	denoised NEW (passed gate)	214
2	9.68322912675445	1.49099855782795	20.5134257240766	6.57804344621357	12.7884148072953	denoised NEW (passed gate)	214
3	14.0978249288377	1.55462654940467	24.1626734616567	10.8903761771651	17.3052736805103	denoised NEW (passed gate)	214
4	10.4065569011103	1.60978386279114	27.7576713067138	7.1077667243256	13.705347077895	denoised NEW (passed gate)	214
5	8.82605912177281	1.95486383723627	55.0787194131868	4.90855029539295	12.7435679481527	denoised NEW (passed gate)	214
0	0.802531085869921	0.0907135047445839	36.628360669804	0.618665096043451	0.98639707569639	raw AGTR1_expr	214
1	0.710644840855417	0.0837141514128398	27.7061710316876	0.539082207734543	0.882207473976291	raw AGTR1_expr	214
2	0.645963892925314	0.0871167042103421	34.2243052633646	0.468964178969165	0.822963606881462	raw AGTR1_expr	214
3	0.837916168404583	0.102128151888567	59.2586613200069	0.633576870745108	1.04225546606406	raw AGTR1_expr	214
4	0.712124641830271	0.115622296737159	84.9404770824969	0.482234214198323	0.942015069462219	raw AGTR1_expr	214
5	0.610612511650732	0.180009528874675	141.717458511518	0.25476159890421	0.966463424397254	raw AGTR1_expr	214
0	0.368668502423119	0.0375628853113678	35.6588057228541	0.292462122001976	0.444874882844263	AGTR1_detect	214
1	0.323439669710878	0.0346502845943519	26.7617394479512	0.252313529128966	0.39456581029279	AGTR1_detect	214
2	0.290867319600501	0.0359888098613414	32.9115580657168	0.217640059902571	0.364094579298432	AGTR1_detect	214
3	0.378254119549807	0.0419599244226763	56.3655906979851	0.294210319686833	0.462297919412782	AGTR1_detect	214
4	0.315545631135812	0.0472809779929545	80.5991356693659	0.221464222548466	0.409627039723157	AGTR1_detect	214
5	0.262748731089533	0.0730166937586643	138.550042964776	0.11837763356927	0.407119828609796	AGTR1_detect	214
