term	estimate	SE	df	t_ratio	p_value	outcome	converged	max_grad	panel	arm
null_smad_0001_z	0.0304579157218257	0.0670102608653244	197.220301613189	0.454526147615502	0.649950047820723	basement_membrane_score_z	TRUE		null_smad_0001	smad
null_smad_0001_z	0.00164365122196754	0.0666933997313932	190.874800351617	0.0246448858295922	0.980363962080224	bm_minus_fibrillar_z	TRUE		null_smad_0001	smad
null_smad_0002_z	0.0475287549756729	0.0663339624269095	181.316707210285	0.716507098879292	0.47460015287521	basement_membrane_score_z	TRUE		null_smad_0002	smad
null_smad_0002_z	-0.0686312150171446	0.0660375593566358	177.532675624944	-1.03927546211243	0.300089989376832	bm_minus_fibrillar_z	TRUE		null_smad_0002	smad
null_smad_0003_z	0.0869829286808602	0.0669189307724728	193.465197933517	1.29982544067546	0.195207376168443	basement_membrane_score_z	TRUE		null_smad_0003	smad
null_smad_0003_z	0.140193863142514	0.0659206944589641	188.0331704013	2.12670488824697	0.0347485258203318	bm_minus_fibrillar_z	TRUE		null_smad_0003	smad
null_smad_0004_z	0.0913973456145441	0.0676122257145982	195.135737326325	1.35178726404225	0.178008194911959	basement_membrane_score_z	TRUE		null_smad_0004	smad
null_smad_0004_z	0.214735511604329	0.0669551027663809	187.066068526671	3.20715677718519	0.00157699037868169	bm_minus_fibrillar_z	TRUE		null_smad_0004	smad
null_smad_0005_z	0.0559774886730438	0.0662878187572257	176.193639614209	0.844461165301837	0.399556904342965	basement_membrane_score_z	TRUE		null_smad_0005	smad
null_smad_0005_z	-0.101024686368531	0.0659078025495804	173.050140743549	-1.53281830770391	0.127146764380966	bm_minus_fibrillar_z	TRUE		null_smad_0005	smad
null_smad_0006_z	0.129395159177133	0.0671225387064968	180.75944702736	1.92774530985683	0.0554542776791322	basement_membrane_score_z	TRUE		null_smad_0006	smad
null_smad_0006_z	0.191054974411065	0.0652616166076392	181.687278139716	2.92752439094039	0.00385374287244736	bm_minus_fibrillar_z	TRUE		null_smad_0006	smad
null_smad_0007_z	0.17152856178612	0.0680479986924147	204.12125624432	2.52069958091568	0.0124771721945391	basement_membrane_score_z	TRUE		null_smad_0007	smad
null_smad_0007_z	0.227707697171974	0.0670848311703011	197.012613681415	3.39432466624112	0.000831805420325446	bm_minus_fibrillar_z	TRUE		null_smad_0007	smad
null_smad_0008_z	0.165597474760067	0.067889289554572	208.475177567247	2.43922827660398	0.0155550040119965	basement_membrane_score_z	TRUE		null_smad_0008	smad
null_smad_0008_z	0.173282359823032	0.0680481593924736	201.734879612662	2.54646652268155	0.0116281807688765	bm_minus_fibrillar_z	TRUE		null_smad_0008	smad
null_smad_0009_z	0.0701752815942042	0.0679642396680545	191.084562690059	1.03253243083346	0.303127815639885	basement_membrane_score_z	TRUE		null_smad_0009	smad
null_smad_0009_z	0.144573255138588	0.0671029038845324	185.824702636166	2.15450072603957	0.0324881710275207	bm_minus_fibrillar_z	TRUE		null_smad_0009	smad
null_smad_0010_z	0.103569674109046	0.0685984842999474	200.795218510811	1.50979537180715	0.132667622177522	basement_membrane_score_z	TRUE		null_smad_0010	smad
null_smad_0010_z	0.0941006957439297	0.0685961981814638	192.460723527769	1.37180628429285	0.171720735428258	bm_minus_fibrillar_z	TRUE		null_smad_0010	smad
null_smad_0011_z	0.0329941622403745	0.0665236418147568	190.076104634751	0.495976488061956	0.620484004878662	basement_membrane_score_z	TRUE		null_smad_0011	smad
null_smad_0011_z	-0.0449978271618001	0.0662185838732856	184.988752648678	-0.679534724691591	0.497648521097622	bm_minus_fibrillar_z	TRUE		null_smad_0011	smad
null_smad_0012_z	-0.0293712375485183	0.0670800156165938	187.439477180131	-0.437853767303726	0.661996428874696	basement_membrane_score_z	TRUE		null_smad_0012	smad
null_smad_0012_z	-0.0688487206062734	0.0664122294210057	182.696713855396	-1.03668738734582	0.301251744605805	bm_minus_fibrillar_z	TRUE		null_smad_0012	smad
null_smad_0013_z	0.135968127327157	0.0690801885489173	206.067387417051	1.96826514494636	0.0503785515163954	basement_membrane_score_z	TRUE		null_smad_0013	smad
null_smad_0013_z	0.230549651909903	0.067781881544282	198.763423972894	3.40134629870497	0.000810573901608093	bm_minus_fibrillar_z	TRUE		null_smad_0013	smad
null_smad_0014_z	0.0214893325545239	0.066968532279443	201.055093314515	0.32088701697768	0.748629306406408	basement_membrane_score_z	TRUE		null_smad_0014	smad
