endpoint	contrast	estimate	SE	df	t.ratio	p.value
bm_minus_fibrillar_core	Pericytes - AT1	-0.535052713013805	0.0498826524857303	2133.08392763581	10.7262281845751	5.68441818529749e-26
bm_minus_fibrillar_core	Pericytes - AT2_AGTR2det	0.374040218763688	0.0580408436657913	2226.98612014645	-6.44443111332898	1.98493773350823e-10
bm_minus_fibrillar_core	Pericytes - AT2_AGTR2undet	0.300306110254188	0.0510628997008842	2208.19294706298	-5.88110177865571	6.16342073968075e-09
bm_minus_fibrillar_core	Pericytes - Adventitial fibroblasts	2.33479706664403	0.0529308955543022	2179.28045781984	-44.1102883711602	5.84824233575879e-303
bm_minus_fibrillar_core	Pericytes - Alveolar fibroblasts	1.8349697081739	0.0512902112827145	2123.90611865022	-35.7762165973433	5.90274616048282e-219
bm_minus_fibrillar_core	Pericytes - Alveolar macrophages	0.572382876198568	0.0511375988516664	2235.51281739215	-11.192994764163	4.31038963108509e-28
bm_minus_fibrillar_core	Pericytes - Classical monocytes	0.662954342655478	0.048082116777113	2138.0048824056	-13.7879608281107	5.10119573589249e-41
bm_minus_fibrillar_core	Pericytes - DC2	0.615309412843208	0.0489631331729191	2195.61384356942	-12.566790010561	1.1678420680322e-34
bm_minus_fibrillar_core	Pericytes - EC aerocyte capillary	0.177236157280603	0.0532860333211313	2116.10967550366	-3.32612780937323	0.0010449471533496
bm_minus_fibrillar_core	Pericytes - EC general capillary	-0.00967721008161395	0.0498582972337456	2118.69382125057	0.194094275547463	0.846120670922827
bm_minus_fibrillar_core	Pericytes - EC venous pulmonary	0.0776276805248245	0.0518993722457947	2134.13293588951	-1.49573447935325	0.141614253034599
bm_minus_fibrillar_core	Pericytes - EC venous systemic	-0.294798231518974	0.0535701347612772	2154.75076175574	5.50303322611886	5.15958438451848e-08
bm_minus_fibrillar_core	Pericytes - Interstitial macrophages	0.61581090942006	0.0494249317827063	2191.84903362502	-12.4595196636272	3.72470452501356e-34
bm_minus_fibrillar_core	Pericytes - Lymphatic EC	-0.100435625213114	0.0505518373320554	2138.05609196121	1.98678486309788	0.0520288128208836
bm_minus_fibrillar_core	Pericytes - Mast cells	0.582009339134806	0.0497452126580625	2134.68189461057	-11.6998060322992	2.06428596076832e-30
