donor_id	ccc_group	role	study	n_cells	COL1A1	COL1A2	COL1A1_detect	COL1A2_detect	stoich	stoich_detect
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_02	Alveolar macrophages	Ambient reference	Misharin_Budinger_2018	300	0.010947639521712	0	0.00666666666666667	0	0.010947639521712	0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	Alveolar fibroblasts	Fibroblasts	Sun_2020	300	1.96411178514275	2.19150046197128	0.836666666666667	0.946666666666667	-0.227388676828522	-0.11
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	Adventitial fibroblasts	Fibroblasts	Meyer_2021	300	1.63363749685809	2.20657338415797	0.666666666666667	0.89	-0.57293588729988	-0.223333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	Pericytes	Pericytes	Meyer_2021	300	0.113471851091676	1.92977871712045	0.0133333333333333	0.486666666666667	-1.81630686602877	-0.473333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	Alveolar fibroblasts	Fibroblasts	Meyer_2021	156	1.38742125000465	1.6376519890991	0.435897435897436	0.58974358974359	-0.250230739094452	-0.153846153846154
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5103	Classical monocytes	Other	Schiller_2020	300	0.252878490639289	0.68170117068403	0.0133333333333333	0.0333333333333333	-0.428822680044741	-0.02
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD84	Lymphatic EC	Other	Banovich_Kropski_2020	161	0.0494144705070549	0.227999391104226	0.0062111801242236	0.0186335403726708	-0.178584920597171	-0.0124223602484472
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 3	Adventitial fibroblasts	Fibroblasts	Krasnow_2020	137	2.31960118743477	2.60881564317467	0.941605839416058	0.985401459854015	-0.289214455739898	-0.0437956204379563
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	Lymphatic EC	Other	Meyer_2021	300	0.0279243447281563	0.104691703653043	0.00666666666666667	0.0233333333333333	-0.0767673589248867	-0.0166666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_06	Alveolar macrophages	Ambient reference	Misharin_Budinger_2018	300	0.0102177079010115	0.0336016357242778	0.00333333333333333	0.01	-0.0233839278232663	-0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747098C	Adventitial fibroblasts	Fibroblasts	Kaminski_2020	158	1.12530014097252	1.89394787289357	0.39873417721519	0.810126582278481	-0.768647731921051	-0.411392405063291
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0009	AT2_AGTR2undet	Other	Banovich_Kropski_2020	297	0.0805357879877058	0.0213775393509675	0.0404040404040404	0.00673400673400673	0.0591582486367384	0.0336700336700337
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	AT2_AGTR2undet	Other	Sun_2020	299	0.716739486257403	0.726124047089718	0.167224080267559	0.177257525083612	-0.00938456083231531	-0.0100334448160535
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	AT2_AGTR2undet	Other	Sheppard_2020	282	0.178912386417879	0.0586391782423307	0.0460992907801418	0.0141843971631206	0.120273208175548	0.0319148936170213
