predictor	outcome	beta_observed	p_model	n_null	null_mean	null_sd	z_vs_null	empirical_p	detectable_effect_80	verdict	null_q025	null_q975
AGTR1_scvi	basement_membrane_score_z	0.125861039231144	0.0643894715534715							no matched null (scVI cannot be permuted here)		
AGTR1_expr	basement_membrane_score_z	0.16953707002599	0.0163084315429498	175	0.0702814888479992	0.151878363240957	0.653520218811687	0.551136363636364	0.203901915776681	INSIDE its matched null	-0.206712031903492	0.322524809120921
AGTR1_detect	basement_membrane_score_z	0.209420942958837	0.0055868393920631	175	0.105616712855338	0.148278648796737	0.700061883122469	0.522727272727273	0.187227827442789	INSIDE its matched null	-0.179235285865484	0.365525984777884
AGTR1_scvi	fibrillar_collagen_score_z	-0.134454260044049	0.045754051321993							no matched null (scVI cannot be permuted here)		
AGTR1_expr	fibrillar_collagen_score_z	-0.0542868224835439	0.430514524259239	175	0.0351019926076698	0.12099599231389	-0.738775007186352	0.454545454545455	0.143093583793269	INSIDE its matched null	-0.159362035294679	0.294410718908934
AGTR1_detect	fibrillar_collagen_score_z	-0.029627872532633	0.691033847999251	175	0.0672025451557211	0.121434474736863	-0.797388203787901	0.392045454545455	0.15184600751382	INSIDE its matched null	-0.13226731367288	0.330801504916167
AGTR1_scvi	bm_minus_fibrillar_z	0.312992942950849	3.08132068243413e-06							no matched null (scVI cannot be permuted here)		
AGTR1_expr	bm_minus_fibrillar_z	0.196569851593166	0.00400592624474164	175	0.0252715328930959	0.159418228191913	1.07452153146412	0.284090909090909	0.217385734604269	INSIDE its matched null	-0.25107230092034	0.341093943867179
AGTR1_detect	bm_minus_fibrillar_z	0.164824940737483	0.0275583144525381	175	0.0275003642258865	0.153017906282614	0.897441220101173	0.363636363636364	0.19578313549632	INSIDE its matched null	-0.237345045861787	0.351574392632424
