term	estimate	SE	df	t_ratio	p_value	outcome	converged	panel	lens
nullexpr_0000_z	0.223788995465593	0.069415844035596	202.861775507181	3.2238892802461	0.00147377173620869	basement_membrane_score_z	TRUE	nullexpr_0000	expr
nullexpr_0000_z	0.102891410280893	0.0695249925661982	210.033068738288	1.47991975954438	0.140393039980562	fibrillar_collagen_score_z	TRUE	nullexpr_0000	expr
nullexpr_0000_z	0.123276472597429	0.0718174796170345	210.453548922398	1.71652462958598	0.0875374349138747	bm_minus_fibrillar_z	TRUE	nullexpr_0000	expr
nulldet_0000_z	0.259552753173965	0.0749088687128063	197.8272872864	3.46491353606028	0.000650309192429277	basement_membrane_score_z	TRUE	nulldet_0000	detect
nulldet_0000_z	0.104039761596145	0.0759145507565143	210.884173107022	1.37048511200229	0.171992552907021	fibrillar_collagen_score_z	TRUE	nulldet_0000	detect
nulldet_0000_z	0.135203374701427	0.0779884230727726	208.699921369272	1.73363390839773	0.0844599059284272	bm_minus_fibrillar_z	TRUE	nulldet_0000	detect
nullexpr_0001_z	0.0883904060180036	0.0721975879019402	208.522528630952	1.22428475225594	0.222226219646253	basement_membrane_score_z	TRUE	nullexpr_0001	expr
nullexpr_0001_z	0.105823130221997	0.0704766497586063	209.319967963707	1.50153463004354	0.134724320875071	fibrillar_collagen_score_z	TRUE	nullexpr_0001	expr
nullexpr_0001_z	-0.00441881635600304	0.0734245576344098	210.979665832747	-0.0601817225512599	0.952067870251608	bm_minus_fibrillar_z	TRUE	nullexpr_0001	expr
nulldet_0001_z	0.122476343632198	0.0780196739648277	204.810429433078	1.56981357916738	0.118002111221345	basement_membrane_score_z	TRUE	nulldet_0001	detect
nulldet_0001_z	0.148165003120093	0.0765229434331214	210.88314285069	1.93621672759601	0.0541777243207183	fibrillar_collagen_score_z	TRUE	nulldet_0001	detect
nulldet_0001_z	-0.0201910573413826	0.0797498784444881	210.513689702477	-0.253179788298199	0.800376354426545	bm_minus_fibrillar_z	TRUE	nulldet_0001	detect
nullexpr_0002_z	0.407537827297758	0.0628354939294481	194.158650097418	6.48579014522179	7.15014099286224e-10	basement_membrane_score_z	TRUE	nullexpr_0002	expr
nullexpr_0002_z	0.0705243529154638	0.0656048793342936	186.709734325911	1.07498639782725	0.283768025487388	fibrillar_collagen_score_z	TRUE	nullexpr_0002	expr
nullexpr_0002_z	0.336997511299615	0.0629867436823149	190.200595989928	5.35029264251735	2.50674350197088e-07	bm_minus_fibrillar_z	TRUE	nullexpr_0002	expr
nulldet_0002_z	0.405263229802059	0.0681567890768227	207.14607260883	5.9460434579051	1.15261089641277e-08	basement_membrane_score_z	TRUE	nulldet_0002	detect
nulldet_0002_z	0.0684062000492328	0.0709589273630161	200.339077532325	0.964025283235696	0.336195444785149	fibrillar_collagen_score_z	TRUE	nulldet_0002	detect
nulldet_0002_z	0.352208506914252	0.0689155380901195	203.406904862086	5.11072708238418	7.37786884307099e-07	bm_minus_fibrillar_z	TRUE	nulldet_0002	detect
nullexpr_0003_z	0.402500314501417	0.0652713953725341	209.697729850526	6.16656518838246	3.53580021455418e-09	basement_membrane_score_z	TRUE	nullexpr_0003	expr
nullexpr_0003_z	0.18053565020163	0.0670877801342386	193.729365720754	2.69103627874389	0.00774573287102025	fibrillar_collagen_score_z	TRUE	nullexpr_0003	expr
nullexpr_0003_z	0.192567656993946	0.0694962681527746	199.462123025389	2.77090644019362	0.00611861777455281	bm_minus_fibrillar_z	TRUE	nullexpr_0003	expr
nulldet_0003_z	0.439504317922046	0.0706055850008671	210.699162348771	6.22478119707738	2.56872105377551e-09	basement_membrane_score_z	TRUE	nulldet_0003	detect
nulldet_0003_z	0.220134300054433	0.0729080366742666	200.449278255614	3.01934203821636	0.00286255048372187	fibrillar_collagen_score_z	TRUE	nulldet_0003	detect
nulldet_0003_z	0.195472597978002	0.0756825445950036	204.635434754268	2.58279632409329	0.0104976358640156	bm_minus_fibrillar_z	TRUE	nulldet_0003	detect
nullexpr_0004_z	0.296383065885059	0.0656277309964588	207.297881771884	4.51612544552321	1.05625948263977e-05	basement_membrane_score_z	TRUE	nullexpr_0004	expr
nullexpr_0004_z	-0.0876638778339094	0.066473147129983	200.839294771452	-1.31878633130593	0.188742328126734	fibrillar_collagen_score_z	TRUE	nullexpr_0004	expr
nullexpr_0004_z	0.364129788189798	0.0646551422838829	204.815238167604	5.63187668184233	5.83218577864321e-08	bm_minus_fibrillar_z	TRUE	nullexpr_0004	expr
nulldet_0004_z	0.328049330476901	0.0698653302769528	209.07605295056	4.69545236781222	4.81141098923611e-06	basement_membrane_score_z	TRUE	nulldet_0004	detect
nulldet_0004_z	-0.0443647820192086	0.0711112072726016	204.977647681181	-0.623878903491796	0.533400790240328	fibrillar_collagen_score_z	TRUE	nulldet_0004	detect
nulldet_0004_z	0.347956415464752	0.0700080290582144	207.732242419127	4.9702358450259	1.39628550730802e-06	bm_minus_fibrillar_z	TRUE	nulldet_0004	detect
nullexpr_0005_z	0.264065295407714	0.0649548154919111	206.446910106828	4.06536903242529	6.81770836651227e-05	basement_membrane_score_z	TRUE	nullexpr_0005	expr
nullexpr_0005_z	-0.123250911597833	0.0641399486809831	194.154988515246	-1.92159354867672	0.0561212570042722	fibrillar_collagen_score_z	TRUE	nullexpr_0005	expr
nullexpr_0005_z	0.398574877627294	0.0620526359970224	199.515697111819	6.42317399129378	9.57891059271611e-10	bm_minus_fibrillar_z	TRUE	nullexpr_0005	expr
nulldet_0005_z	0.2935250429224	0.0670555738653508	208.19028245314	4.37733995852165	1.90066983909631e-05	basement_membrane_score_z	TRUE	nulldet_0005	detect
nulldet_0005_z	-0.102151788665269	0.066784396704259	197.676313209334	-1.52957567495335	0.12772043325774	fibrillar_collagen_score_z	TRUE	nulldet_0005	detect
nulldet_0005_z	0.394890296599604	0.0646087905199365	202.508717906972	6.1120211881656	4.97170606073995e-09	bm_minus_fibrillar_z	TRUE	nulldet_0005	detect
nullexpr_0006_z	0.220590310814655	0.0684717288521797	210.99101471673	3.22162612968159	0.00147643901147524	basement_membrane_score_z	TRUE	nullexpr_0006	expr
nullexpr_0006_z	0.190963135949108	0.0665056885747378	202.453427085813	2.8713804794985	0.00452157819260068	fibrillar_collagen_score_z	TRUE	nullexpr_0006	expr
nullexpr_0006_z	0.0503533349553434	0.0705359138356472	207.64097472042	0.713868045612475	0.476110429855431	bm_minus_fibrillar_z	TRUE	nullexpr_0006	expr
nulldet_0006_z	0.251326179954181	0.0734886777567435	209.047233445338	3.41993062912496	0.000753104049697686	basement_membrane_score_z	TRUE	nulldet_0006	detect
nulldet_0006_z	0.203820751471375	0.0724070950193023	208.212102925288	2.81492789369661	0.00534701802851456	fibrillar_collagen_score_z	TRUE	nulldet_0006	detect
nulldet_0006_z	0.069846472947705	0.076196113463656	210.41464464189	0.916667133961108	0.360366515007478	bm_minus_fibrillar_z	TRUE	nulldet_0006	detect
nullexpr_0007_z	0.201309482006719	0.0696100465714477	203.440932938832	2.89196016842332	0.00424472479180011	basement_membrane_score_z	TRUE	nullexpr_0007	expr
nullexpr_0007_z	-0.0015375519964825	0.0679319354459183	191.596685799207	-0.0226337139725184	0.981966005339759	fibrillar_collagen_score_z	TRUE	nullexpr_0007	expr
nullexpr_0007_z	0.192687693803311	0.0699505568747584	198.768499178523	2.75462701674134	0.00642142282115421	bm_minus_fibrillar_z	TRUE	nullexpr_0007	expr
nulldet_0007_z	0.206923584769252	0.0767678990293712	210.974545046954	2.69544415550677	0.00759631411451318	basement_membrane_score_z	TRUE	nulldet_0007	detect
nulldet_0007_z	0.0113507660745523	0.0757995096214525	205.56179581985	0.149747223052481	0.881110870644396	fibrillar_collagen_score_z	TRUE	nulldet_0007	detect
nulldet_0007_z	0.19614882061967	0.0775994210811385	209.149535482369	2.527709844827	0.0122199339609934	bm_minus_fibrillar_z	TRUE	nulldet_0007	detect
nullexpr_0008_z	0.0526470300511903	0.0698462585784195	208.673153978695	0.753755907942888	0.451845455837706	basement_membrane_score_z	TRUE	nullexpr_0008	expr
nullexpr_0008_z	-0.122469793080655	0.0671388477014153	197.525382012415	-1.824127122725	0.0696438820973843	fibrillar_collagen_score_z	TRUE	nullexpr_0008	expr
nullexpr_0008_z	0.172215534316049	0.0695940309279056	202.74016982717	2.47457335090207	0.0141604075391687	bm_minus_fibrillar_z	TRUE	nullexpr_0008	expr
nulldet_0008_z	0.0503921481907462	0.0755396105413928	209.780804393242	0.667095684364606	0.505444113031773	basement_membrane_score_z	TRUE	nulldet_0008	detect
nulldet_0008_z	-0.10955209780341	0.0724665521544513	200.114922982153	-1.51176086824052	0.132172252951112	fibrillar_collagen_score_z	TRUE	nulldet_0008	detect
nulldet_0008_z	0.140974491136498	0.0754589032664021	204.890929722684	1.86822873158914	0.0631576895232164	bm_minus_fibrillar_z	TRUE	nulldet_0008	detect
nullexpr_0009_z	0.162695638321547	0.06647050669785	206.758136986662	2.44763649931391	0.0152137916802031	basement_membrane_score_z	TRUE	nullexpr_0009	expr
nullexpr_0009_z	-0.113631462637904	0.0649447749231265	199.308429195052	-1.74966289085468	0.0817155755385279	fibrillar_collagen_score_z	TRUE	nullexpr_0009	expr
nullexpr_0009_z	0.304723689573246	0.0638961377061558	203.202493445611	4.76904708974121	3.5269910037264e-06	bm_minus_fibrillar_z	TRUE	nullexpr_0009	expr
nulldet_0009_z	0.209205186269327	0.0694031331984966	209.012403320852	3.01434786338808	0.00289394000446726	basement_membrane_score_z	TRUE	nulldet_0009	detect
nulldet_0009_z	-0.053554861007467	0.0685171438816256	202.726032465536	-0.781627166187657	0.435345606259388	fibrillar_collagen_score_z	TRUE	nulldet_0009	detect
nulldet_0009_z	0.289315196064456	0.0680489450647527	206.025356237734	4.25157503601496	3.2175715248163e-05	bm_minus_fibrillar_z	TRUE	nulldet_0009	detect
nullexpr_0010_z	0.248855234578563	0.0683630632823534	196.075450870424	3.64020016994763	0.000348473356896035	basement_membrane_score_z	TRUE	nullexpr_0010	expr
nullexpr_0010_z	0.0599420289292348	0.0672698970829407	186.572611826776	0.891067647321193	0.374040545016831	fibrillar_collagen_score_z	TRUE	nullexpr_0010	expr
nullexpr_0010_z	0.23992089349027	0.0673033373427901	190.586877790039	3.56476963792007	0.000460343559334925	bm_minus_fibrillar_z	TRUE	nullexpr_0010	expr
nulldet_0010_z	0.272570452540229	0.073471124807147	209.252211954887	3.70989900121571	0.000265690868464752	basement_membrane_score_z	TRUE	nulldet_0010	detect
nulldet_0010_z	0.116295085496469	0.073044225372947	200.647290895937	1.59211881435791	0.112932189135009	fibrillar_collagen_score_z	TRUE	nulldet_0010	detect
nulldet_0010_z	0.209621638707311	0.0743710308855951	204.070581958868	2.81859261880842	0.00529826119643669	bm_minus_fibrillar_z	TRUE	nulldet_0010	detect
nullexpr_0011_z	0.226158607055546	0.0670056671223374	210.944399487199	3.37521610884989	0.000877848488855856	basement_membrane_score_z	TRUE	nullexpr_0011	expr
nullexpr_0011_z	0.0915703443634554	0.0658793713978872	201.613072396835	1.38996991653737	0.166070775068626	fibrillar_collagen_score_z	TRUE	nullexpr_0011	expr
nullexpr_0011_z	0.203110925379549	0.0682833366627471	208.631125008162	2.97453134697735	0.00328015299666684	bm_minus_fibrillar_z	TRUE	nullexpr_0011	expr
nulldet_0011_z	0.267033667124035	0.0711618997002709	210.329755800383	3.75248086755361	0.000226473671726792	basement_membrane_score_z	TRUE	nulldet_0011	detect
nulldet_0011_z	0.0922206171828365	0.0710624708541884	207.181066864561	1.29774008804256	0.195819658706384	fibrillar_collagen_score_z	TRUE	nulldet_0011	detect
