test_ligand	aupr_frozen	rank_frozen	aupr_bm	rank_bm	perm_p_BH
TGFB2	0.208170306721241	1	0.176185950069332	3	0.00641935806419358
TGFB1	0.2030569287902	2	0.0226410196456967	16	0.109506696389185
CCN2	0.158998327486667	3	0.0315418161515692	13	0.0939977430828346
TIMP2	0.146083452147181	4	0.17173780535205	6	0.00641935806419358
COPA	0.13852941971183	5	0.26730518288373	2	0.00641935806419358
VTN	0.12887517289011	6	0.00428744694390105	76	0.127700598924065
COL4A1	0.121277247355698	7	0.337152978938783	1	0.00641935806419358
COL1A1	0.107306389764533	8	0.174016332884409	4	0.00917051152027654
MMP14	0.103919588314249	9	0.0452580362888629	12	0.0588441155884412
COL5A1	0.103344551086895	10	0.170133980568809	7	0.00917051152027654
AGT	0.102744838353057	11	0.00992384567920984	21	0.127700598924065
ENG	0.102339758308924	12	0.00700080313066319	32	0.127700598924065
SIRPB2	0.100088913619808	13	0.00333245837813092	137	0.127700598924065
VCAM1	0.0989730367689061	14	0.00310160648905877	157	0.127700598924065
FN1	0.0956954831852978	15	0.0027760411353163	179	0.127700598924065
RELN	0.0951689614659528	16	0.116053261483324	8	0.0481451854814519
NAMPT	0.0950738842539528	17	0.00291010496028588	165	0.127700598924065
THBS2	0.0931076112478326	18	0.00128199472854763	275	0.191296870312969
TGM2	0.092948240344352	19	0.00378108852761175	108	0.127700598924065
ICAM1	0.0873564816898791	20	0.00554554618254118	47	0.127700598924065
TNC	0.0863933442655254	21	0.00422559265167215	82	0.127700598924065
BMP4	0.08533396195016	22	0.0465792077530224	10	0.0481451854814519
ANG	0.0839745362064393	23	0.00274152281639745	183	0.128049300333125
WNT3A	0.0839172948439343	24	0.000735548138501755	310	0.264953827197925
NTS	0.0816279701361454	25	0.00944898489420554	22	0.127700598924065
SEMA3F	0.0794509652862885	26	0.00917517648017096	23	0.127700598924065
DLL4	0.0777105202694205	27	0.000971875773854941	298	0.225216068997127
C4BPA	0.0764189084552329	28	0.00450496313673075	69	0.127700598924065
SHISA4	0.0763690556211291	29	0.00314320065613786	148	0.127700598924065
LGALS3BP	0.0747588252367856	30	0.00277010808261785	180	0.127700598924065
GGT1	0.0743091328090485	31	0.00288966200479066	167	0.127700598924065
C1QB	0.0739647686741691	32	0.00526478458009614	50	0.127700598924065
