target	ligand	regulatory_potential	ligand_rank
COL1A1	TGFB1	0.276859206675854	NA
COL1A2	TGFB2	0.248933399679773	NA
COL1A1	TGFB2	0.243166093729439	NA
COL5A1	TGFB1	0.22304413869149	NA
COL5A2	INHBA	0.154257213226626	NA
COL1A2	TGFB1	0.153656333591737	NA
COL1A2	BMP4	0.150298364399642	NA
COL5A1	TGFB2	0.149279270355392	NA
COL5A1	BMP4	0.149197489555764	NA
COL1A1	FGF2	0.130778257550434	NA
COL3A1	BDNF	0.120108203495545	NA
COL5A3	PDGFD	0.115884776582231	NA
COL5A2	TGFB1	0.092841045760252	NA
COL1A1	PDGFA	0.0905346043801463	NA
COL1A2	CCN2	0.0749494889146334	NA
COL5A2	BMP4	0.0742855052958207	NA
COL1A2	VEGFA	0.0738831697846252	NA
COL5A1	IGF2	0.0737666723989022	NA
COL1A2	BMP2	0.0731279101728168	NA
COL1A1	TGFB3	0.0729457386617741	NA
COL3A1	BMP4	0.0722865044099919	NA
COL1A2	FGF2	0.0722281583990522	NA
COL3A1	IGF2	0.0719439227765086	NA
COL3A1	ANGPT1	0.0712697976970978	NA
COL5A2	FGF2	0.0710844730744826	NA
COL5A1	BDNF	0.0704995061641457	NA
COL5A2	FGF7	0.0694040982442207	NA
COL3A1	HBEGF	0.0692131233317427	NA
COL1A1	CXCL8	0.0692027151693291	NA
COL5A3	BMP2	0.0541570029357841	NA
COL5A3	TGFB3	0.0519465646766009	NA
COL1A2	BDNF	0.0503077615808554	NA
COL5A1	VEGFA	0.0476831851707312	NA
COL1A1	IL1B	0.0473311105099819	NA
COL5A2	CLDN1	0.0470800243974323	NA
COL1A1	IL6	0.0465386593567022	NA
COL3A1	TGM2	0.0462903500906248	NA
COL5A3	RARRES1	0.0456651689163004	NA
COL5A1	MYOC	0.0455076080148864	NA
COL1A1	CALR	0.045083686996461	NA
COL1A2	EDN1	0.044089324298487	NA
COL5A3	JAG1	0.0430083824428949	NA
COL3A1	TGFB1	0.0426975061756991	NA
COL1A1	TIMP2	0.0423810290995433	NA
COL3A1	AGT	0.0412073460734348	NA
COL3A1	EDN1	0.0407359423149931	NA
COL1A1	MMP14	0.0400776455765504	NA
COL1A2	PDGFD	0.0341806931278105	NA
COL1A1	PDGFD	0.0330533352667605	NA
COL1A2	PDGFA	0.0312745096383358	NA
COL1A2	PDGFB	0.0311702075800686	NA
COL1A2	PDGFC	0.0295031334909051	NA
COL1A1	PDGFB	0.029485257184145	NA
COL1A2	CMTM8	0.0283798091493365	NA
COL1A1	PDGFC	0.0276328064247461	NA
COL5A1	COL1A1	0.0266324966104302	NA
COL1A2	SLPI	0.026420387491203	NA
COL1A1	RELN	0.0263062927748157	NA
COL1A1	CALM3	0.026272261821436	NA
COL5A1	PDGFA	0.0259863009163559	NA
COL1A1	COL5A1	0.0250897370260272	NA
COL1A1	COL10A1	0.0247878330017081	NA
COL1A1	COL4A1	0.024765542102319	NA
COL5A2	CXCL8	0.0240308022777069	NA
COL5A1	COL4A1	0.0239340449692013	NA
COL5A1	RELN	0.023793237832135	NA
COL5A1	COL10A1	0.0236918187838734	NA
COL1A1	COPA	0.0235003260641938	NA
COL5A1	COPA	0.023349308560798	NA
COL5A2	COMP	0.0229158268848738	NA
COL1A1	SLPI	0.0203985342289422	NA
COL1A2	OSM	0.0201398383224967	NA
COL1A2	S100A4	0.0187304566691523	NA
COL1A2	GAS6	0.0184158502816613	NA
COL1A2	C4BPA	0.0182388898153362	NA
COL1A1	OSM	0.0177581313025394	NA
COL1A2	CCN1	0.0177298255798877	NA
COL1A2	SPON2	0.0164376909713391	NA
COL1A2	IGFBP3	0.016389802561453	NA
COL1A2	IL1B	0.016025843764907	NA
COL1A1	IGFBP3	0.0157269421938122	NA
COL1A2	IL6	0.015467973692906	NA
COL1A2	MIF	0.0153954385042162	NA
COL5A2	CMTM8	0.0152269263174238	NA
COL1A2	NGF	0.0149303234096234	NA
COL1A2	LIF	0.0146632397260861	NA
COL1A2	CLCF1	0.0144649024610291	NA
COL1A1	GAS6	0.0141979702713736	NA
COL1A2	BACE1	0.0140869415532424	NA
COL1A1	BMP2	0.0140443851480675	NA
COL5A1	OSM	0.0140042110177858	NA
COL1A1	CCN2	0.0138883180056216	NA
COL1A2	SELE	0.0138048489912301	NA
COL1A1	S100A4	0.0137234272605182	NA
COL1A2	LTB	0.0136713196213997	NA
COL1A2	LRIG2	0.0133760297019265	NA
COL1A1	INHBA	0.0133157840576806	NA
COL1A2	ANGPT1	0.0133132320035422	NA
COL1A2	CLEC11A	0.0132111115897189	NA
COL1A1	C4BPA	0.0131962812074955	NA
COL1A2	CSF2	0.013179882308379	NA
COL1A1	BACE1	0.0131723852608922	NA
COL1A2	NAMPT	0.0131370617675173	NA
COL5A2	TGFB2	0.0131076596911676	NA
COL1A2	IL1A	0.0128612639238133	NA
COL1A2	ICAM1	0.0128043877202083	NA
COL1A1	BMP1	0.0127527517233339	NA
COL5A1	SLPI	0.0127474595700449	NA
COL1A2	IGF2	0.0127090347373867	NA
COL1A2	IGF1	0.0126726239009651	NA
COL1A2	INHBA	0.0126409664047702	NA
COL1A1	BMP3	0.0126302240358703	NA
COL5A2	BMP3	0.0125703983210354	NA
COL1A2	PLAU	0.0125094082560654	NA
COL1A2	IFITM1	0.0125046059754517	NA
COL1A1	CCN1	0.0124990473876377	NA
COL1A1	LIF	0.0123555376405997	NA
COL1A1	LTBP1	0.0123202019494821	NA
COL1A1	MIF	0.0122841523180945	NA
COL1A1	CLCF1	0.0122516988747227	NA
COL1A1	ENG	0.0122367362264498	NA
COL1A2	BMP3	0.012109623855278	NA
COL1A2	FST	0.0120002148921295	NA
COL1A2	ANGPTL2	0.0119519180049564	NA
COL1A1	IGF1	0.0119092368716724	NA
COL1A1	IGF2	0.0118846045446121	NA
COL1A2	TGM2	0.0118667371499252	NA
COL1A1	PLAU	0.0118620606099918	NA
COL1A1	NGF	0.0118437400627009	NA
COL5A2	JAM2	0.0117476284283281	NA
COL1A2	LTF	0.0117233394457485	NA
COL5A2	TGFB3	0.0117041537054724	NA
COL1A1	SPON2	0.0116959561161474	NA
COL1A2	BMP1	0.0116424549588427	NA
COL1A1	NAMPT	0.0116388176844467	NA
COL1A2	IL1RN	0.0115966389931527	NA
COL1A1	IFITM1	0.0115635079777531	NA
COL1A2	TGFB3	0.011434948449001	NA
COL1A2	SDC2	0.0114265262962706	NA
COL5A1	GAS6	0.0114251554369373	NA
COL1A2	JAM2	0.0112639213279295	NA
COL5A2	BMP2	0.0111988010203268	NA
COL1A2	HGF	0.0111717274502566	NA
COL1A1	ANGPT1	0.0111548670507921	NA
COL1A2	CXCL12	0.0111271012139293	NA
COL1A1	CLEC11A	0.0110915054912717	NA
COL1A1	SELE	0.0109748964279017	NA
COL1A2	RARRES1	0.0109744346648566	NA
COL1A1	CTSD	0.0109729178399871	NA
COL1A1	LTB	0.0109522842764827	NA
COL3A1	OSM	0.0109442233448055	NA
COL5A1	CLCF1	0.0109329222191795	NA
COL1A1	POSTN	0.0108470916319701	NA
COL5A2	BMP1	0.0108265116587416	NA
COL1A1	ICAM1	0.0107724664433804	NA
COL1A2	CTSD	0.010712430116172	NA
COL1A1	CSF2	0.0107059972677967	NA
COL5A2	IGFBP3	0.0106948067888491	NA
COL5A1	CCN1	0.0106688248764502	NA
COL1A2	ANGPTL4	0.0106617949449437	NA
COL1A1	IL1A	0.0106584375587289	NA
COL1A2	PTPRC	0.0106091352622145	NA
COL1A1	BMP6	0.0105897988190208	NA
COL1A1	TIMP3	0.0105792246647488	NA
COL1A2	SPP1	0.0105389060112936	NA
COL1A2	ADAM17	0.0104888352242088	NA
COL5A1	BMP2	0.0104304702761115	NA
COL1A2	AGT	0.0104064859792353	NA
COL1A2	POSTN	0.0104050490690771	NA
COL1A1	SIGLEC6	0.0104000328655015	NA
COL1A1	HGF	0.0103940263870068	NA
COL1A1	TGM2	0.0103824936708875	NA
COL1A1	BMP4	0.010348957206499	NA
COL5A1	IL1B	0.0103364733889182	NA
COL3A1	CLCF1	0.0103060516444106	NA
COL5A1	NAMPT	0.010254091156587	NA
COL1A1	CLDN1	0.0102387054546402	NA
COL1A2	LTBP1	0.0102253112611275	NA
COL1A1	WIF1	0.010210417601816	NA
COL1A2	HDC	0.0101904164457061	NA
COL1A1	LTF	0.0101865392051754	NA
COL5A1	MMRN2	0.0101477868409831	NA
COL1A2	THBS1	0.010146644324575	NA
COL5A1	S100A4	0.0101324453756967	NA
COL1A2	PROS1	0.0100742310086762	NA
COL1A2	DCN	0.00998723026856914	NA
COL1A1	FST	0.00993565061747797	NA
COL1A2	MMP9	0.00991747156133429	NA
COL1A2	COL1A2	0.00991090087260967	NA
COL1A1	VEGFA	0.00986884448457983	NA
COL5A2	FST	0.00985108970677911	NA
COL5A2	CCN2	0.00983571534132806	NA
COL1A1	PAM	0.00979501696060197	NA
COL1A2	ENG	0.00979082357566841	NA
COL1A2	TIMP3	0.00975463954336605	NA
COL5A1	LIF	0.00970621114303448	NA
COL1A1	SDC2	0.00965297926069698	NA
COL1A2	SERPINE1	0.00964893957505583	NA
COL1A2	MMP2	0.00961264007125973	NA
COL5A2	GAS6	0.0095964963661022	NA
