test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver	target_set	perm_mean	perm_sd	perm_z	perm_p	perm_p_BH
COL4A1	0.730272909582358	0.338719967708697	0.337152978938783	0.171188034202004	1	Pericytes	fibrillar_collagen	0.00114032306187092	0.00838358021994249	40.0798521707492	9.99900009999e-05	0.00641935806419358
COPA	0.7124422355916	0.268872171653644	0.26730518288373	0.166043414081312	2	Pericytes	fibrillar_collagen	0.00111712592528705	0.00829330875198175	32.0967257965448	9.99900009999e-05	0.00641935806419358
TGFB2	0.795143430115971	0.177752938839246	0.176185950069332	0.20896724168989	3	Pericytes	fibrillar_collagen	0.00108703297848213	0.00754341676258741	23.2121494279988	9.99900009999e-05	0.00641935806419358
COL1A1	0.765977853343803	0.175583321654322	0.174016332884409	0.094268169128718	4	Pericytes	fibrillar_collagen	0.00105138685743029	0.00733872930794268	23.5687867434733	0.0001999800019998	0.00917051152027654
COMP	0.713357746970098	0.17387569329952	0.172308704529606	0.123762925630819	5	Pericytes	fibrillar_collagen	0.0010701193101363	0.00762539506420393	22.456355871097	9.99900009999e-05	0.00641935806419358
TIMP2	0.657075595082398	0.173304794121963	0.17173780535205	0.161054813871988	6	Pericytes	fibrillar_collagen	0.00115337656269725	0.00836075945164789	20.4029825012763	9.99900009999e-05	0.00641935806419358
COL5A1	0.733237422617497	0.171700969338722	0.170133980568809	0.0856735449752602	7	Pericytes	fibrillar_collagen	0.00113917168042584	0.00835757094078743	20.2205652917211	0.0001999800019998	0.00917051152027654
RELN	0.728441886825362	0.117620250253238	0.116053261483324	0.143596302847487	8	Pericytes	fibrillar_collagen	0.00101903708724841	0.00675880043519386	17.0199172913996	0.0013998600139986	0.0481451854814519
COL10A1	0.702763972447472	0.0898533990820931	0.0882864103121792	0.11826743050618	9	Pericytes	fibrillar_collagen	0.00112241351139489	0.00761457536436497	11.4469937757394	0.0017998200179982	0.0525220205252202
BMP4	0.821562472752645	0.0481461965229362	0.0465792077530224	0.140569692928644	10	Pericytes	fibrillar_collagen	0.000954050656222902	0.00640152473034879	7.12723281072346	0.0013998600139986	0.0481451854814519
INHBA	0.796887261313107	0.0473795958332584	0.0458126070633446	0.0583849751000502	11	Pericytes	fibrillar_collagen	0.000994334886260078	0.00662188418598706	6.76820538056631	0.0014998500149985	0.0481451854814519
MMP14	0.754904525241957	0.0468250250587767	0.0452580362888629	0.155754188791027	12	Pericytes	fibrillar_collagen	0.00114766538423499	0.00794276939049243	5.55352531793614	0.0021997800219978	0.0588441155884412
CCN2	0.709870084575816	0.0331088049214831	0.0315418161515692	0.10900855635558	13	Pericytes	fibrillar_collagen	0.00105302787386315	0.00750122258191698	4.06450921096578	0.0040995900409959	0.0939977430828346
CALM3	0.688856918650278	0.0321263654858363	0.0305593767159225	0.0800590977900537	14	Pericytes	fibrillar_collagen	0.00117109236060071	0.00832957158818916	3.52818677937682	0.0047995200479952	0.102709729027097
