**** Job starts ****
Tue Apr 16 04:06:55 PM EDT 2024
**** JHPCE info ****
User: jbenjami
Job id: 
Job name: 
Hostname: compute-095

Currently Loaded Modules:
  1) JHPCE_ROCKY9_DEFAULT_ENV   2) JHPCE_tools/3.0

 

**** Download fine mapping ****
--2024-04-16 16:06:55--  https://storage.googleapis.com/adult-gtex/bulk-qtl/v8/fine-mapping-cis-eqtl/GTEx_v8_finemapping_DAPG.tar
Resolving storage.googleapis.com (storage.googleapis.com)... 172.253.115.207, 142.250.31.207, 172.253.122.207, ...
Connecting to storage.googleapis.com (storage.googleapis.com)|172.253.115.207|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 761794560 (727M) [application/x-tar]
Saving to: ‘GTEx_v8_finemapping_DAPG.tar’

     0K .......... .......... .......... .......... ..........  0% 1.67M 7m14s
    50K .......... .......... .......... .......... ..........  0% 1.61M 7m23s
   100K .......... .......... .......... .......... ..........  0% 4.68M 5m47s
   150K .......... .......... .......... .......... ..........  0% 4.72M 4m59s
   200K .......... .......... .......... .......... ..........  0% 5.17M 4m27s
   250K .......... .......... .......... .......... ..........  0% 5.64M 4m4s
   300K .......... .......... .......... .......... ..........  0% 7.12M 3m44s
   350K .......... .......... .......... .......... ..........  0% 8.46M 3m26s
   400K .......... .......... .......... .......... ..........  0% 15.3M 3m9s
   450K .......... .......... .......... .......... ..........  0% 14.4M 2m55s
   500K .......... .......... .......... .......... ..........  0% 13.8M 2m44s
   550K .......... .......... .......... .......... ..........  0% 13.8M 2m35s
   600K .......... .......... .......... .......... ..........  0% 15.0M 2m26s
   650K .......... .......... .......... .......... ..........  0% 15.7M 2m19s
   700K .......... .......... .......... .......... ..........  0% 13.8M 2m13s
   750K .......... .......... .......... .......... ..........  0% 16.4M 2m8s
   800K .......... .......... .......... .......... ..........  0% 24.3M 2m2s
   850K .......... .......... .......... .......... ..........  0% 18.3M 1m57s
   900K .......... .......... .......... .......... ..........  0% 31.9M 1m52s
   950K .......... .......... .......... .......... ..........  0% 26.3M 1m48s
  1000K .......... .......... .......... .......... ..........  0% 30.4M 1m44s
  1050K .......... .......... .......... .......... ..........  0% 31.9M 1m40s
  1100K .......... .......... .......... .......... ..........  0% 31.1M 97s
  1150K .......... .......... .......... .......... ..........  0% 23.7M 94s
  1200K .......... .......... .......... .......... ..........  0% 52.6M 91s
  1250K .......... .......... .......... .......... ..........  0% 31.5M 88s
  1300K .......... .......... .......... .......... ..........  0% 44.8M 86s
  1350K .......... .......... .......... .......... ..........  0% 29.3M 84s
  1400K .......... .......... .......... .......... ..........  0% 49.4M 81s
  1450K .......... .......... .......... .......... ..........  0% 33.9M 79s
  1500K .......... .......... .......... .......... ..........  0% 49.8M 77s
  1550K .......... .......... .......... .......... ..........  0% 32.1M 75s
  1600K .......... .......... .......... .......... ..........  0% 45.6M 74s
  1650K .......... .......... .......... .......... ..........  0% 37.0M 72s
  1700K .......... .......... .......... .......... ..........  0% 72.5M 70s
  1750K .......... .......... .......... .......... ..........  0% 49.7M 69s
  1800K .......... .......... .......... .......... ..........  0% 39.7M 67s
  1850K .......... .......... .......... .......... ..........  0% 50.8M 66s
  1900K .......... .......... .......... .......... ..........  0% 51.8M 65s
  1950K .......... .......... .......... .......... ..........  0% 39.4M 63s
  2000K .......... .......... .......... .......... ..........  0% 41.0M 62s
  2050K .......... .......... .......... .......... ..........  0% 99.7M 61s
  2100K .......... .......... .......... .......... ..........  0% 84.8M 60s
  2150K .......... .......... .......... .......... ..........  0% 41.7M 59s
  2200K .......... .......... .......... .......... ..........  0% 59.6M 58s
  2250K .......... .......... .......... .......... ..........  0% 36.5M 57s
  2300K .......... .......... .......... .......... ..........  0%  126M 56s
  2350K .......... .......... .......... .......... ..........  0%  101M 55s
  2400K .......... .......... .......... .......... ..........  0% 57.3M 54s
  2450K .......... .......... .......... .......... ..........  0% 50.4M 53s
  2500K .......... .......... .......... .......... ..........  0% 93.2M 52s
  2550K .......... .......... .......... .......... ..........  0% 54.0M 52s
  2600K .......... .......... .......... .......... ..........  0%  119M 51s
  2650K .......... .......... .......... .......... ..........  0% 59.7M 50s
  2700K .......... .......... .......... .......... ..........  0% 95.5M 49s
  2750K .......... .......... .......... .......... ..........  0% 69.0M 48s
  2800K .......... .......... .......... .......... ..........  0% 75.5M 48s
  2850K .......... .......... .......... .......... ..........  0% 44.1M 47s
  2900K .......... .......... .......... .......... ..........  0%  125M 47s
  2950K .......... .......... .......... .......... ..........  0%  129M 46s
  3000K .......... .......... .......... .......... ..........  0% 42.3M 45s
  3050K .......... .......... .......... .......... ..........  0% 99.1M 45s
  3100K .......... .......... .......... .......... ..........  0%  129M 44s
  3150K .......... .......... .......... .......... ..........  0%  137M 44s
  3200K .......... .......... .......... .......... ..........  0%  106M 43s
  3250K .......... .......... .......... .......... ..........  0%  107M 42s
  3300K .......... .......... .......... .......... ..........  0% 87.4M 42s
  3350K .......... .......... .......... .......... ..........  0% 44.4M 42s
  3400K .......... .......... .......... .......... ..........  0%  116M 41s
  3450K .......... .......... .......... .......... ..........  0%  130M 41s
  3500K .......... .......... .......... .......... ..........  0%  125M 40s
  3550K .......... .......... .......... .......... ..........  0%  129M 40s
  3600K .......... .......... .......... .......... ..........  0% 71.6M 39s
  3650K .......... .......... .......... .......... ..........  0%  136M 39s
  3700K .......... .......... .......... .......... ..........  0% 57.7M 38s
  3750K .......... .......... .......... .......... ..........  0% 43.2M 38s
  3800K .......... .......... .......... .......... ..........  0% 26.6M 38s
  3850K .......... .......... .......... .......... ..........  0%  106M 37s
  3900K .......... .......... .......... .......... ..........  0%  135M 37s
  3950K .......... .......... .......... .......... ..........  0%  111M 37s
  4000K .......... .......... .......... .......... ..........  0%  104M 36s
  4050K .......... .......... .......... .......... ..........  0%  126M 36s
  4100K .......... .......... .......... .......... ..........  0%  132M 36s
  4150K .......... .......... .......... .......... ..........  0%  132M 35s
  4200K .......... .......... .......... .......... ..........  0%  122M 35s
  4250K .......... .......... .......... .......... ..........  0%  136M 35s
  4300K .......... .......... .......... .......... ..........  0%  132M 34s
  4350K .......... .......... .......... .......... ..........  0%  133M 34s
  4400K .......... .......... .......... .......... ..........  0%  108M 34s
  4450K .......... .......... .......... .......... ..........  0%  137M 33s
  4500K .......... .......... .......... .......... ..........  0%  125M 33s
  4550K .......... .......... .......... .......... ..........  0%  131M 33s
  4600K .......... .......... .......... .......... ..........  0%  137M 32s
  4650K .......... .......... .......... .......... ..........  0%  123M 32s
  4700K .......... .......... .......... .......... ..........  0%  109M 32s
  4750K .......... .......... .......... .......... ..........  0%  125M 32s
  4800K .......... .......... .......... .......... ..........  0%  130M 31s
  4850K .......... .......... .......... .......... ..........  0%  128M 31s
  4900K .......... .......... .......... .......... ..........  0%  116M 31s
  4950K .......... .......... .......... .......... ..........  0%  133M 30s
  5000K .......... .......... .......... .......... ..........  0%  132M 30s
  5050K .......... .......... .......... .......... ..........  0%  121M 30s
  5100K .......... .......... .......... .......... ..........  0%  104M 30s
  5150K .......... .......... .......... .......... ..........  0%  126M 30s
  5200K .......... .......... .......... .......... ..........  0%  132M 29s
  5250K .......... .......... .......... .......... ..........  0%  120M 29s
  5300K .......... .......... .......... .......... ..........  0%  116M 29s
  5350K .......... .......... .......... .......... ..........  0%  128M 29s
  5400K .......... .......... .......... .......... ..........  0%  128M 28s
  5450K .......... .......... .......... .......... ..........  0%  133M 28s
  5500K .......... .......... .......... .......... ..........  0%  107M 28s
  5550K .......... .......... .......... .......... ..........  0%  127M 28s
  5600K .......... .......... .......... .......... ..........  0%  122M 28s
  5650K .......... .......... .......... .......... ..........  0%  130M 27s
  5700K .......... .......... .......... .......... ..........  0%  115M 27s
  5750K .......... .......... .......... .......... ..........  0%  133M 27s
  5800K .......... .......... .......... .......... ..........  0%  124M 27s
  5850K .......... .......... .......... .......... ..........  0%  132M 27s
  5900K .......... .......... .......... .......... ..........  0%  105M 27s
  5950K .......... .......... .......... .......... ..........  0%  132M 26s
  6000K .......... .......... .......... .......... ..........  0%  129M 26s
  6050K .......... .......... .......... .......... ..........  0%  124M 26s
  6100K .......... .......... .......... .......... ..........  0%  116M 26s
  6150K .......... .......... .......... .......... ..........  0%  131M 26s
  6200K .......... .......... .......... .......... ..........  0%  120M 26s
  6250K .......... .......... .......... .......... ..........  0%  125M 25s
  6300K .......... .......... .......... .......... ..........  0%  132M 25s
  6350K .......... .......... .......... .......... ..........  0%  103M 25s
  6400K .......... .......... .......... .......... ..........  0%  123M 25s
  6450K .......... .......... .......... .......... ..........  0%  134M 25s
  6500K .......... .......... .......... .......... ..........  0%  134M 25s
  6550K .......... .......... .......... .......... ..........  0%  114M 24s
  6600K .......... .......... .......... .......... ..........  0%  127M 24s
  6650K .......... .......... .......... .......... ..........  0%  121M 24s
  6700K .......... .......... .......... .......... ..........  0%  127M 24s
  6750K .......... .......... .......... .......... ..........  0%  105M 24s
  6800K .......... .......... .......... .......... ..........  0%  117M 24s
  6850K .......... .......... .......... .......... ..........  0%  124M 24s
  6900K .......... .......... .......... .......... ..........  0%  129M 24s
  6950K .......... .......... .......... .......... ..........  0%  124M 23s
  7000K .......... .......... .......... .......... ..........  0%  131M 23s
  7050K .......... .......... .......... .......... ..........  0% 10.8M 24s
  7100K .......... .......... .......... .......... ..........  0%  124M 23s
  7150K .......... .......... .......... .......... ..........  0% 95.4M 23s
  7200K .......... .......... .......... .......... ..........  0%  132M 23s
  7250K .......... .......... .......... .......... ..........  0%  119M 23s
  7300K .......... .......... .......... .......... ..........  0%  129M 23s
  7350K .......... .......... .......... .......... ..........  0%  120M 23s
  7400K .......... .......... .......... .......... ..........  1%  122M 23s
  7450K .......... .......... .......... .......... ..........  1%  122M 23s
  7500K .......... .......... .......... .......... ..........  1%  120M 22s
  7550K .......... .......... .......... .......... ..........  1%  111M 22s
  7600K .......... .......... .......... .......... ..........  1%  132M 22s
  7650K .......... .......... .......... .......... ..........  1%  129M 22s
  7700K .......... .......... .......... .......... ..........  1%  130M 22s
  7750K .......... .......... .......... .......... ..........  1%  118M 22s
  7800K .......... .......... .......... .......... ..........  1%  131M 22s
  7850K .......... .......... .......... .......... ..........  1%  136M 22s
  7900K .......... .......... .......... .......... ..........  1%  126M 22s
  7950K .......... .......... .......... .......... ..........  1%  112M 22s
  8000K .......... .......... .......... .......... ..........  1%  130M 21s
  8050K .......... .......... .......... .......... ..........  1%  125M 21s
  8100K .......... .......... .......... .......... ..........  1%  136M 21s
  8150K .......... .......... .......... .......... ..........  1%  122M 21s
  8200K .......... .......... .......... .......... ..........  1%  127M 21s
  8250K .......... .......... .......... .......... ..........  1%  138M 21s
  8300K .......... .......... .......... .......... ..........  1%  121M 21s
  8350K .......... .......... .......... .......... ..........  1%  139M 21s
  8400K .......... .......... .......... .......... ..........  1%  108M 21s
  8450K .......... .......... .......... .......... ..........  1%  138M 21s
  8500K .......... .......... .......... .......... ..........  1%  137M 21s
  8550K .......... .......... .......... .......... ..........  1%  133M 20s
  8600K .......... .......... .......... .......... ..........  1%  117M 20s
  8650K .......... .......... .......... .......... ..........  1%  132M 20s
  8700K .......... .......... .......... .......... ..........  1%  134M 20s
  8750K .......... .......... .......... .......... ..........  1%  139M 20s
  8800K .......... .......... .......... .......... ..........  1%  108M 20s
  8850K .......... .......... .......... .......... ..........  1%  133M 20s
  8900K .......... .......... .......... .......... ..........  1%  114M 20s
  8950K .......... .......... .......... .......... ..........  1%  126M 20s
  9000K .......... .......... .......... .......... ..........  1%  134M 20s
  9050K .......... .......... .......... .......... ..........  1%  125M 20s
  9100K .......... .......... .......... .......... ..........  1% 11.5M 20s
  9150K .......... .......... .......... .......... ..........  1%  122M 20s
  9200K .......... .......... .......... .......... ..........  1%  114M 20s
  9250K .......... .......... .......... .......... ..........  1%  130M 20s
  9300K .......... .......... .......... .......... ..........  1%  109M 20s
  9350K .......... .......... .......... .......... ..........  1%  127M 19s
  9400K .......... .......... .......... .......... ..........  1%  125M 19s
  9450K .......... .......... .......... .......... ..........  1%  121M 19s
  9500K .......... .......... .......... .......... ..........  1%  109M 19s
  9550K .......... .......... .......... .......... ..........  1%  132M 19s
  9600K .......... .......... .......... .......... ..........  1%  129M 19s
  9650K .......... .......... .......... .......... ..........  1%  131M 19s
  9700K .......... .......... .......... .......... ..........  1%  113M 19s
  9750K .......... .......... .......... .......... ..........  1%  129M 19s
  9800K .......... .......... .......... .......... ..........  1%  124M 19s
  9850K .......... .......... .......... .......... ..........  1%  118M 19s
  9900K .......... .......... .......... .......... ..........  1%  109M 19s
  9950K .......... .......... .......... .......... ..........  1%  132M 19s
 10000K .......... .......... .......... .......... ..........  1%  137M 19s
 10050K .......... .......... .......... .......... ..........  1%  137M 18s
 10100K .......... .......... .......... .......... ..........  1%  118M 18s
 10150K .......... .......... .......... .......... ..........  1%  129M 18s
 10200K .......... .......... .......... .......... ..........  1%  129M 18s
 10250K .......... .......... .......... .......... ..........  1%  138M 18s
 10300K .......... .......... .......... .......... ..........  1%  111M 18s
 10350K .......... .......... .......... .......... ..........  1%  133M 18s
 10400K .......... .......... .......... .......... ..........  1%  129M 18s
 10450K .......... .......... .......... .......... ..........  1%  132M 18s
 10500K .......... .......... .......... .......... ..........  1%  120M 18s
 10550K .......... .......... .......... .......... ..........  1%  133M 18s
 10600K .......... .......... .......... .......... ..........  1%  117M 18s
 10650K .......... .......... .......... .......... ..........  1%  131M 18s
 10700K .......... .......... .......... .......... ..........  1%  138M 18s
 10750K .......... .......... .......... .......... ..........  1%  130M 18s
 10800K .......... .......... .......... .......... ..........  1%  116M 18s
 10850K .......... .......... .......... .......... ..........  1%  132M 18s
 10900K .......... .......... .......... .......... ..........  1%  134M 17s
 10950K .......... .......... .......... .......... ..........  1%  134M 17s
 11000K .......... .......... .......... .......... ..........  1%  118M 17s
 11050K .......... .......... .......... .......... ..........  1%  136M 17s
 11100K .......... .......... .......... .......... ..........  1%  947K 21s
 11150K .......... .......... .......... .......... ..........  1% 98.4M 21s
