contrast	estimate	SE	df	t.ratio	p.value
Healthy - Fibrotic_ILD	-0.0931098282676845	0.169841357683078	31	-0.548216462337909	0.904092031824658
Healthy - Other	-0.0633084249484815	0.195923284972744	31	-0.323128641688958	0.904092031824658
Fibrotic_ILD - Other	0.0298014033192031	0.245312057612212	31	0.121483646622511	0.904092031824658
