disease_group	emmean	SE	df	lower.CL	upper.CL
Healthy	0.19073345531364	0.024381697604393	31	0.14100665520351	0.240460255423771
Fibrotic_ILD	0.255606468469837	0.0628449251185463	31	0.127433398652787	0.383779538286888
Other	0.227785795494852	0.0714074280555928	31	0.0821493858028868	0.373422205186818
