state	Sum.Sq	Df	F.value	Pr..F.	p_BH
activated_migratory	0.00160002318371893	2	0.103499985855423	0.901986288622915	0.901986288622915
fibroblast_like	0.00183649635070654	2	0.14080194801987	0.869213696998695	0.901986288622915
inflammatory	0.0166850491938429	2	0.553395718113987	0.580569474434596	0.901986288622915
synthetic_contractile	0.00918390713842843	2	0.313483343731352	0.733186342962515	0.901986288622915
vascular_stabilizing	0.0103939660450989	2	0.5634707124209	0.574951010689107	0.901986288622915
