disease_group	emmean	SE	df	lower.CL	upper.CL
Healthy	-0.058122043895283	0.0625367617817159	31	-0.185666610443182	0.0694225226526155
Fibrotic_ILD	0.0349877843724015	0.161191323717352	31	-0.293764087791575	0.363739656536378
Other	0.00518638105319845	0.183153338631885	31	-0.368357315838927	0.378730077945323
