panel	readout	program	emmean	SE	centered	target	n	pearson_r	ci_low	ci_high	pearson_p
A	ACTA2 (raw)	activated_migratory	0.722075352653851	0.0938248116226354	-0.324512325213299						
A	ACTA2 (raw)	basement_membrane	1.04343098192279	0.057636379540798	-0.0031566959443603						
A	ACTA2 (raw)	vascular_stabilizing	1.37425669902481	0.056247110248249	0.32766902115766						
A	AGTR1 (raw)	activated_migratory	0.59134318630462	0.0765106458518318	-0.0839372846292893						
A	AGTR1 (raw)	basement_membrane	0.634446181302509	0.0400316345866839	-0.0408342896314004						
A	AGTR1 (raw)	vascular_stabilizing	0.800052045194599	0.0386680934467131	0.12477157426069						
A	AGTR1 (denoised)	activated_migratory	2.2706414573884	0.0760460332216964	-0.0304632361679467						
A	AGTR1 (denoised)	basement_membrane	2.36926039254729	0.060580623836626	0.0681556989909495						
A	AGTR1 (denoised)	vascular_stabilizing	2.26341223073334	0.06695031650798	-0.0376924628230029						
A	AGTR1 (count model)	activated_migratory	0.392469740949853	0.20449849079499	-0.183012140983607						
A	AGTR1 (count model)	basement_membrane	0.780716189485304	0.137157222342173	0.205234307551844						
A	AGTR1 (count model)	vascular_stabilizing	0.553259715365224	0.140673671106239	-0.0222221665682364						
B	AGTR1 (raw)					ACTA2	154	0.283321467169615	0.131029522286878	0.422550050144316	0.000370118368929242
B	AGTR1 (denoised)					ACTA2	154	0.312662298978101	0.162536491606825	0.448639791407633	7.88502599210819e-05
B	AGTR1 (raw)					Contractile program (-ACTA2)	154	0.39087453347899	0.248045714148155	0.517071608680181	5.3878922281349e-07
B	AGTR1 (denoised)					Contractile program (-ACTA2)	154	0.599129706674061	0.487126517827448	0.69174331264965	2.24562962473288e-16
