figure	supp_number	panel	source	exists
A		liana edges -> pericytes	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/cell_communication/_m/figures/dotplot_into_Pericytes.pdf	TRUE
A		liana edges -> AGTR2-det AT2	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/cell_communication/_m/figures/dotplot_into_AT2_AGTR2det.pdf	TRUE
A		NicheNet ligand->target (pericyte)	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/cell_communication/_m/nichenet/ligand_target_heatmap_Pericytes.pdf	TRUE
A		alluvial cluster->category->role	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/cell_communication/_m/figures/alluvial_state.pdf	TRUE
B		state UMAP	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/pericyte_states/_m/figures/umap_pericyte_state.pdf	TRUE
B		DPT pseudotime UMAP	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/pericyte_states/_m/figures/umap_pseudotime.pdf	TRUE
B		PAGA states	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/pericyte_states/_m/figures/paga_states.pdf	TRUE
Supp	S1	Pericyte-layer supporting detail	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_pericyte_layer.pdf	TRUE
Supp	S2	Agtr1a marks the mouse pericyte compartment	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_crossspecies_mouse.pdf	TRUE
Supp	S3	Program x protein-category enrichment	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_program_category.pdf	TRUE
Supp	S4	AGTR1 is not reducible to ACTA2+ contractile identity	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_acta2_control.pdf	TRUE
Supp	S5	AT1R-AT2R balance by pericyte program	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_balance_by_state.pdf	TRUE
Supp	S6	Basement-membrane remodeling in IPF but not COPD	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_bm_copd.pdf	TRUE
Supp	S7	Stability of the pericyte continuum	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_continuum_stability.pdf	TRUE
Supp	S8	Specificity and donor-level validation of niche regulation	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_nichenet_specificity.pdf	TRUE
Supp	S9	Robustness to receiver definition; BM-restricted signaling	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_receiver_robustness.pdf	TRUE
Supp	S10	The lung renin-angiotensin axis is distributed across cell types	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_ras_landscape.pdf	TRUE
Supp	S11	Discrete state composition does not differ across disease	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_state_composition.pdf	TRUE
Supp	S12	Robustness and limitations of the disease-associated signal	/ocean/projects/bio260021p/kbenjamin/projects/angiotensinII_lung/figures/mechanism/figureS_sensitivity.pdf	TRUE
