FGR
CFH
HS3ST1
TMEM176A
TFPI
HSPB6
PDK4
ZMYND10
WDR54
ITGAL
ABCC8
CX3CL1
TNFRSF12A
PRSS21
PROM1
NOS2
DNAH9
MATK
CD79B
TKTL1
SELE
FMO3
DLEC1
MGST1
IL32
MED24
TRAF3IP3
SEMA3G
STAB1
LRRC23
FYN
PLAUR
DCN
ZBTB32
TYROBP
CD22
SEMA3B
LTF
ALOX5
GPRC5A
CD6
WAS
CLCA4
IGF1
SLC11A1
VSIG2
MARCO
CYP24A1
RUNX3
FHL1
BIRC3
PLEKHO1
HSD17B6
VIM
SLAMF7
PRKCH
SH2D2A
TNFRSF1B
POU2F2
IBSP
APBA2
EFCAB1
MYOC
DAPK2
STAP1
VCAN
MSR1
DNAH5
TNC
ADAM28
LCP2
ADRB1
GPM6B
CP
TNFRSF17
UTS2
TNFRSF9
LTBP1
ELN
DKK3
TNIP3
MSMO1
SYNE2
KCNH2
CYFIP2
TRAF1
SERPINB3
PRDM1
LAMC2
MXD1
SLC2A3
CASP8
SPA17
WISP2
CHI3L2
CALCRL
SLC9A3R2
ANKRD44
MYLK
COL17A1
PRKCQ
TIE1
CD84
SPI1
CLDN18
PLPP1
SYT1
HYAL2
RASGRP2
ADGRF5
CLEC2D
MAOB
RORA
TGFBR3
SCT
FSTL3
MGAT4A
LMCD1
CDH19
LIMS2
FCGR2B
STK10
ACAP1
FERMT2
DHRS9
PTGS2
TBX21
NOTCH3
ATP2A3
IPCEF1
TXK
FSCN1
ATP12A
ARHGAP15
PAG1
ICAM3
MCAM
SPAG6
FGFR1
FBLN1
ITGA8
CST7
MAP2
LAMP3
EDN1
P2RY10
ITM2A
BPIFB2
RUNX1T1
LXN
SCGN
MOXD1
RABL2B
RFX3
MOK
CXCL2
TCF7
MEF2C
PTPRC
STK17B
FYB
P2RX5
FCN1
PILRA
ABCB1
SNX10
CEACAM6
LAT2
TMPRSS11E
MMP2
CASS4
PTPN4
KIF9
TESC
SIRPG
CHGB
FXYD5
FXYD3
LAG3
LTBP4
RGS1
ICAM1
LYZ
SLC26A4
ITGA6
RAPGEF4
ANGPT2
CD200
CCDC80
CMA1
TEKT2
VNN3
FMO2
PTGS1
SH2D3C
CYP26A1
CREM
TPSD1
TREM2
CRISP3
PGC
EFHC1
SCD
PALMD
GADD45B
DERL3
OSM
YPEL1
CYTH4
MFNG
LGALS2
LGALS1
PIK3IP1
TIMP3
HMOX1
GRAP2
CSF2RB
IL2RB
CTSG
GZMH
GZMB
CHGA
TCL1A
PLTP
MMP9
PROCR
SLA2
NFATC2
STK4
CTSZ
SLCO4A1
SPEF1
RASSF2
MYL9
HCK
WFDC2
PPP1R16B
EPPIN
SMCHD1
RNF125
CHRDL1
SRPX
BMX
PLS3
PIM2
PCSK1N
GATA1
CD40LG
TIMP1
TNFSF13B
ACP5
MRPS31
FLT1
RGCC
IRG1
OLFM4
MSLN
CORO1A
PLLP
CCL22
CCL17
CCDC113
NDRG4
WFDC1
COTL1
CRISPLD2
FOXF1
SLC7A5
IL21R
TMC5
AQP9
CSPP1
RP1
CA2
SFRP1
PLAT
NEFM
CD37
RETN
FCER2
IL4I1
LILRB1
LILRA1
IL27RA
RASAL3
EBI3
TGFB1
DENND3
CD79A
ICAM4
NKG7
CEACAM5
PTPRS
CCDC114
SIGLEC6
HAS1
CAPS
JAK3
ISYNA1
COMP
HAMP
PBX4
TFPI2
TWISTNB
PIK3CG
DNAH11
PTN
CAV2
CAV1
LFNG
CPVL
CYP3A5
PCOLCE
SERPINE1
SFRP4
TSPAN13
RARRES2
AGR2
GIMAP2
TMEM176B
AEBP1
OGN
ASPN
AKNA
TNFSF8
ENG
AK1
NPDC1
PTGDS
GATA3
CXCL12
SPOCK2
ACTA2
DKK1
PPIF
KRT23
CSF3
RGS9
P2RX1
RASD1
SLC6A4
ALDH3A1
ICAM2
B9D1
CCL7
CCL2
CCL8
CCL1
ABI3
COL1A1
SGCA
SLC16A6
PMP22
SULT1E1
ODAM
SMR3A
AREG
INPP4B
IL2
CPE
SOD3
CLNK
SH3D19
CRYAB
ZBTB16
CRTAM
EHD1
MS4A6A
MS4A4A
CCND1
FOLR1
CEP126
IL10RA
GALNT18
CD5
CALCA
VWF
PPFIBP1
CD69
CLEC2B
BIN2
IL23A
KRT18
ELK3
PRR4
MGP
RERGL
IFNG
CLEC4A
KLRB1
COL12A1
RSPH4A
NEDD9
NCOA7
FAM65B
SOD2
IL17A
IL17F
PHACTR1
CD83
FHL5
PERP
SLC16A10
ADGRG6
CCR6
PACRG
C6orf118
VEGFA
LAMA4
CLIC5
LY86
SEMA5A
C7
HMGCS1
NME5
HBEGF
GZMK
SPARC
ITK
BTNL8
CDH6
LMNB1
NPR3
ST8SIA4
LIFR
DPYSL3
PDGFRB
STC2
HRH2
CD86
HES1
IFT57
IQCG
PLSCR4
TNNC1
IL1A
CCL20
ZAP70
CYTIP
ITGA4
EFEMP1
FN1
DNAH6
IGFBP2
IGFBP5
GNLY
IL1R2
IL1R1
IL1RL1
IL18R1
IL18RAP
ID2
QPCT
KYNU
WIPF1
PLEK
RND3
EPAS1
CD207
PRRX1
DHCR24
ERRFI1
KIAA1324
LEPR
PRG4
GADD45A
RGS2
OLFML3
CD2
OSCP1
NID1
SLAMF1
CD48
ADGRL2
MFAP2
GBP1
CD160
ECE1
ID3
PIK3R3
TSPAN1
CNN3
F3
FASLG
HSD11B1
STMN1
PROX1
CENPF
MUC5B
TNNT2
C1orf54
CASC1
LRMP
FILIP1
ADGB
TNFAIP3
SGK1
ARG1
CTGF
TCF21
SPP1
RARRES1
PCDH17
CCND2
DNAH7
C2orf40
CTNNAL1
NR4A3
CSF3R
BBOF1
LTBP2
EPCAM
TEK
CCDC170
MYCT1
CXorf21
TGFBI
EGR1
SOCS2
DUSP4
CLU
TBX2
A1BG
CSTA
FABP3
CCR2
TNFSF10
TMEM156
TMIGD3
CXCR4
PAEP
LAX1
CD244
LY9
ODF2L
INHBA
RAMP3
DNAI1
CALD1
SFTPA1
PLAU
SRGN
EGR2
BHLHE41
ARHGAP9
NCKAP1L
MMP19
NR4A1
TNFAIP6
G0S2
C4BPA
DAW1
PI3
SLPI
PREX1
TOX2
ZNF831
PTGIS
SNAI1
C20orf85
IL17C
HIF3A
LYPD3
F13A1
HIST1H1D
TREM1
CDKN1A
SOX4
NRN1
CXCL6
EREG
SCGB2A1
MT1G
MT2A
GPR18
EFNB2
IRF1
SEPT6
PTGER2
KIR2DL1
IL1B
CD70
C3
TNFSF14
FOSB
CD93
BMP2
FLRT3
PCSK2
ID1
BPIFB1
HCST
CCR7
STATH
IFI6
CFP
RHOJ
HSPA2
EVI2A
OMG
WDR60
RGS13
OMD
FGD3
EDN2
BCL11B
IL22
TSPAN8
PTPRB
ADGRE2
KLF2
F2RL3
TUBA4A
GNG11
FGL2
STEAP4
SPINK2
KDR
VPREB3
RAC2
LIF
APOBEC3A
KRT17
CPA4
CDHR3
PODXL
CHN1
