cell_id	cell_type	dataset_id	donor_id	sex	disease	total_counts_cell	Agtr1a_counts	Agtr1a_lognorm	Agtr1a_scvi_corrected	Agtr1b_counts	Agtr1b_lognorm	Agtr1b_scvi_corrected	Agtr2_counts	Agtr2_lognorm	Agtr2_scvi_corrected
24	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	629.0	0.0	0.0	0.6738961	0.0	0.0	0.28308186	0.0	0.0	0.15178712
72	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	269.0	0.0	0.0	0.86767125	0.0	0.0	0.35089564	0.0	0.0	0.15810141
74	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	183.0	0.0	0.0	0.43524	0.0	0.0	0.20058551	0.0	0.0	0.21622999
80	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	650.0	0.0	0.0	1.0497541	0.0	0.0	0.12916222	0.0	0.0	0.03563973
81	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	215.0	0.0	0.0	1.902422	0.0	0.0	0.10849506	0.0	0.0	0.24974936
114	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	459.0	0.0	0.0	1.2941324	0.0	0.0	0.20010237	0.0	0.0	0.12199623
186	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	511.0	0.0	0.0	1.6332941	0.0	0.0	0.09834781	0.0	0.0	0.095663756
205	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	605.0	0.0	0.0	0.6877129	0.0	0.0	0.13292663	0.0	0.0	0.08216965
215	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	281.0	0.0	0.0	0.65575266	0.0	0.0	0.22434397	0.0	0.0	0.0627881
250	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	407.0	1.0	0.83051425	2.1655722	0.0	0.0	0.17111897	0.0	0.0	0.0731149
279	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	263.0	0.0	0.0	0.7802672	0.0	0.0	0.23931687	0.0	0.0	0.08585583
287	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	315.0	0.0	0.0	0.8393259	0.0	0.0	0.19399267	0.0	0.0	0.4080396
288	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	342.0	0.0	0.0	1.314014	0.0	0.0	0.12945926	0.0	0.0	0.04638315
289	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	283.0	0.0	0.0	0.7172858	0.0	0.0	0.42955583	1.0	1.0512264	0.6670355
308	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	306.0	0.0	0.0	1.4970226	0.0	0.0	0.09316811	0.0	0.0	0.090858825
