cls	donor_id	n_cells	n_pos	any_pos
pericyte	1-M-62	3	2	True
pericyte	18-F-50	1	0	False
pericyte	18-F-51	1	1	True
pericyte	18-M-52	3	3	True
pericyte	18_46_F	4	4	True
pericyte	18_47_F	4	4	True
pericyte	24_58_M	1	0	False
pericyte	3-F-56	1	0	False
pericyte	3-F-57	3	3	True
pericyte	3-M-5/6	1	1	True
pericyte	3-M-7/8	10	4	True
pericyte	30-M-3	1	1	True
pericyte	30-M-4	1	1	True
pericyte	3_10_M	1	1	True
pericyte	3_11_M	1	1	True
pericyte	3_39_F	2	2	True
pericyte	3_8_M	2	2	True
pericyte	3_9_M	1	1	True
smc	1-M-62	2	0	False
smc	1-M-63	3	0	False
smc	18-F-50	1	0	False
smc	18-F-51	3	0	False
smc	18-M-52	5	0	False
smc	18-M-53	5	0	False
smc	18_45_M	6	0	False
smc	18_46_F	6	0	False
smc	18_47_F	3	0	False
smc	18_53_M	4	0	False
smc	21-F-54	2	0	False
smc	21-F-55	9	0	False
smc	24_60_M	1	0	False
smc	3-F-56	1	0	False
smc	3-F-57	7	0	False
smc	30-M-4	4	0	False
smc	30-M-5	1	0	False
smc	3_11_M	1	0	False
smc	3_38_F	7	0	False
smc	3_39_F	11	0	False
smc	3_8_M	4	0	False
smc	3_9_M	1	0	False
